"","ID_3447772","ID_208570","ID_382069","ID_283867","ID_915065","ID_2625724","ID_515054","ID_3357219","ID_625159","ID_2794732","ID_245276","ID_562076","ID_268677","ID_3337097","ID_827560","ID_596277","ID_3122828","ID_146056","ID_1157415","ID_209362","ID_1945247","ID_98717","ID_2736291","ID_935308","ID_609467","ID_497954","ID_3690635","ID_322850","ID_725732","ID_254849","ID_55635","ID_842460","ID_1002430","ID_3402913","ID_657365","ID_163857","ID_1001152","ID_2877840","ID_2360904","ID_711472","ID_867632","ID_996260","ID_837037","ID_2396592","ID_3547896","ID_567905","ID_3049729","ID_722227","ID_2496081","ID_815754","ID_3394380","ID_299868","ID_71859","ID_595869","ID_186856","ID_651121","ID_2942823","ID_218261","ID_4184186","ID_853251","ID_2297998","ID_956750","ID_1493319","ID_365745","ID_536527","ID_283438","ID_197478","ID_285759","ID_3109146","ID_3146150","ID_3561771","ID_3488980","ID_578237","ID_2694681","ID_2857794","ID_3546862","ID_3482045","ID_3468450","ID_518877","ID_897170","ID_3487947","ID_364270","ID_70218","ID_536059","ID_3832127","ID_664653","ID_524766","ID_2785477","ID_790534","ID_534466","ID_370833","ID_3470154","ID_49858","ID_3835454","ID_50461","ID_762773","ID_3216316","ID_1918344","ID_800853","ID_3650442","ID_533124","ID_3369959","ID_3390337","ID_3386264","ID_64552","ID_221775","ID_2332910","ID_1462986","ID_230759","ID_564557","ID_3296859","ID_779968","ID_680130","ID_3437456","ID_3212402","ID_510871","ID_519360","ID_3286999","ID_3388165","ID_2006024","ID_206772","ID_539452","ID_3189063","ID_3143805","ID_2833882","ID_671464","ID_2791085","ID_3076284","ID_2877484","ID_1169650","ID_26176","ID_609609","ID_940311","ID_804860","ID_3447875","ID_3623110","ID_3374878","ID_2354387","ID_3472859","ID_296456","ID_332224","ID_396253","ID_1972298","ID_777366","ID_663834","ID_300063","ID_250476","ID_2329200","ID_1852569","ID_2533043","ID_3346633","ID_716413","ID_816210","ID_3626184","ID_3645840","ID_980951"
"1",NA,NA,224311,124911,300649,78410,144616,NA,237857,25184,1865854,NA,NA,NA,457558,NA,NA,17254,129726,34348,90907,118790,5071505,160395,167495,40630,NA,73720,431995,160887,43387,362502,266788,NA,1068946,76994,5065077,44200,47287,694933,212977,1705340,157387,24063,NA,202847,NA,42669,35374,60760,NA,235392,6575,2258433,40961,130393,NA,52966,NA,54880,167462,37743,NA,79142,279116,179287,2562916,52517,NA,NA,NA,NA,39527,194041,33125,NA,NA,NA,NA,NA,NA,NA,87364,375301,NA,17837,29489,18741,525205,59377,22118,NA,28318,NA,73272,NA,NA,563192,104177,NA,210905,NA,NA,NA,7888,NA,186071,45676,566169,172874,NA,83241,268821,NA,NA,6189067,45734,NA,NA,92739,78427,37251,NA,NA,55551,475889,29386,NA,23288,132017,NA,137488,18698000,52621,NA,NA,NA,105354,NA,85093,171834,69641,74289,473719,3618269,195961,NA,57620,97866,29159,NA,1340578,7288385,NA,NA,74998
"2",NA,NA,216422,121321,332080,84587,140199,NA,240542,25716,2019875,NA,NA,NA,483967,NA,NA,18106,143951,34852,91335,127105,5174782,257833,145434,39581,NA,74922,469748,169805,45088,372730,277803,NA,1114152,76408,4793079,48736,49312,690209,219336,1678016,163314,27223,NA,240817,NA,41161,40346,63499,NA,229458,6424,2299725,42367,134448,9658,51517,NA,55662,177996,39540,NA,74889,286296,188961,2627649,50189,NA,NA,NA,NA,39009,192688,36769,NA,NA,NA,NA,NA,NA,NA,90621,375802,NA,18011,28867,22797,533785,58584,22909,NA,28276,NA,70254,NA,NA,588534,98977,NA,200536,NA,NA,NA,8172,NA,193497,45025,539386,177087,NA,86694,254231,NA,NA,6365651,45316,NA,NA,93383,80609,37772,NA,NA,65761,506326,40475,NA,26332,140438,NA,139186,18545000,51895,NA,NA,NA,109019,NA,85509,175145,67294,74965,462336,3926837,198465,NA,60607,97097,29914,NA,1344717,7347785,NA,NA,75085
"3",NA,NA,205937,126336,326764,88802,131947,NA,240297,25414,2148838,NA,NA,NA,483508,NA,NA,18712,144513,35829,92189,127467,5427046,256667,133108,39028,NA,74727,507598,160093,45841,409570,273217,NA,1138774,76912,4763212,55084,51763,740334,226950,1664865,166381,29090,NA,218965,11404,42149,40875,68270,NA,228093,6417,2403501,42271,138168,13945,49555,NA,56074,174517,42480,NA,72773,278382,195480,2812884,51234,NA,NA,NA,NA,41112,194208,39308,NA,NA,NA,NA,NA,NA,NA,90716,371003,NA,18151,28993,24428,598317,61011,22132,NA,27753,NA,72123,NA,NA,606777,106385,NA,191401,NA,NA,NA,8518,NA,203087,46694,517510,217916,NA,91120,250557,NA,NA,7642449,48865,NA,NA,92716,80425,37488,NA,NA,63174,555731,35501,NA,36489,137475,NA,149793,18760000,53946,NA,NA,NA,113120,NA,87843,163235,67330,77403,473687,4011892,201775,NA,63328,95568,29775,NA,1359165,7384558,NA,NA,87913
"4",NA,NA,216814,128685,334368,96748,129926,NA,338136,26831,2310685,NA,NA,NA,477746,NA,NA,18743,143696,33014,88626,127418,5606286,262132,129764,40087,NA,74258,516751,165457,46501,435986,240318,NA,1158349,78964,5321420,56264,55026,638222,218293,1738733,169275,28757,NA,221309,17997,41180,38121,68207,NA,214605,6914,2448614,41030,147530,17834,55701,NA,53718,180370,41239,NA,72970,295354,204827,2822394,52681,NA,NA,NA,NA,39848,192740,42237,NA,NA,NA,NA,NA,NA,NA,89653,358052,NA,26394,29053,25020,580029,63317,24524,NA,28808,NA,66793,NA,NA,665438,105417,NA,186586,NA,NA,NA,7815,NA,205885,46215,508311,226238,NA,92303,293014,NA,NA,8142888,49765,NA,NA,90602,78751,38189,NA,NA,60918,586722,36680,7840,35000,141981,NA,156804,20477000,55336,NA,NA,NA,119048,NA,92170,167506,75130,79982,484904,3922453,191302,NA,66593,98039,31184,NA,1361371,7656261,NA,NA,81415
"5",NA,NA,238226,124539,331994,99976,128459,NA,334766,29142,2313615,NA,NA,NA,489158,NA,NA,19137,148543,36204,87169,125708,5545330,264379,137579,38756,NA,74342,550641,165559,47746,464871,238040,NA,1219969,80677,5036713,57540,61612,672146,214171,1695087,174666,29264,NA,214625,30634,40091,37379,70239,NA,220791,6973,2511392,43483,137870,19686,55603,NA,54773,195916,43601,NA,70308,302230,212573,2897300,52520,NA,NA,NA,NA,41791,190125,46173,NA,NA,NA,NA,NA,NA,NA,90800,340912,NA,25490,30489,29938,651392,62259,22752,NA,27745,NA,68571,NA,NA,632474,108927,NA,184199,NA,NA,NA,21521,NA,216547,48170,512845,228109,NA,92542,290798,NA,NA,8429207,50147,NA,NA,93240,83593,38619,NA,NA,79030,603218,41448,20398,37292,131106,NA,166977,19710000,55762,NA,NA,NA,122254,NA,93270,175477,76492,84850,497637,4106886,183684,NA,66315,93975,31617,NA,1390866,7695559,NA,NA,83852
"6",NA,NA,301093,123849,355970,112511,128926,NA,368270,30021,2439245,NA,NA,NA,489484,NA,11489,19522,154779,33608,87594,126350,5536096,252414,134116,40122,NA,74450,612344,163295,48476,538266,235218,NA,1292400,84515,5349562,58533,64789,640542,223276,1766618,179231,31383,NA,208870,37637,40074,39738,70933,NA,220766,7480,2574515,46840,142352,22335,52663,NA,56480,201198,48070,NA,73097,306941,225580,3030543,52524,15299,NA,NA,NA,40649,192511,56382,NA,NA,NA,NA,NA,NA,NA,93811,334756,NA,24955,29212,33528,606235,65474,26367,NA,27193,NA,69200,NA,NA,659793,107416,NA,199046,NA,NA,NA,22502,NA,221280,49062,618971,232786,NA,93363,269678,NA,NA,8570989,47329,NA,NA,98053,84254,40195,NA,NA,82868,655703,40317,28825,35451,132974,NA,179815,21740000,56553,NA,NA,NA,122838,NA,92153,178496,78633,93523,502429,4121188,181931,NA,69694,102771,41486,NA,1410018,7498802,NA,NA,80272
"7",NA,NA,315358,130385,370794,123579,123291,NA,428182,28251,2567750,NA,NA,NA,480983,NA,28295,19992,152147,34368,86756,129171,5615723,253492,134029,39376,NA,73324,609843,148501,50614,569205,235176,NA,1424557,84521,5219920,62157,69187,638465,228981,1744803,177037,32673,NA,215417,40556,40281,39525,72746,NA,220739,7179,2662148,46443,148761,24636,50705,NA,58997,213726,50458,NA,74612,300656,226637,3235795,53745,42537,NA,NA,NA,42925,191224,62631,NA,NA,NA,NA,NA,NA,NA,95914,339802,NA,25973,29187,34862,568920,68851,23494,NA,28252,NA,66953,NA,NA,688190,111580,NA,202652,NA,NA,NA,27001,NA,231024,50364,614135,253263,NA,87337,266877,NA,NA,9140866,53239,NA,NA,99503,86261,40252,NA,NA,83098,731907,38279,39930,43165,130626,NA,173699,21171000,56384,NA,NA,NA,136413,NA,92731,182037,79372,92830,508444,4171546,191465,NA,66136,109478,43756,NA,1392972,7019086,NA,NA,84855
"8",NA,NA,305588,133152,384806,126012,117866,NA,410290,28768,2750103,NA,NA,NA,484610,NA,38223,19897,150605,37227,86155,131991,5653402,500369,125154,40022,NA,73775,647281,165060,51995,589803,231477,NA,1455838,81987,5187251,66603,70001,667980,235551,1756952,178218,32560,NA,214304,44907,39936,38348,74038,NA,225157,6563,2751406,45044,149730,28360,59067,NA,57440,231970,52643,NA,82737,295266,231232,3316006,55303,62676,80451,NA,NA,45315,187759,65163,NA,NA,NA,NA,NA,NA,NA,95460,341677,NA,24940,29306,36748,559268,73485,23337,NA,27507,NA,59663,NA,NA,706180,111873,NA,210234,NA,NA,NA,28213,NA,243473,53117,593193,266231,NA,94143,276323,NA,NA,9487539,52766,NA,NA,103237,86526,41074,NA,11665,83053,818541,42374,44183,49531,133467,NA,171696,21491000,57179,NA,NA,NA,136466,NA,95252,186273,78861,94300,508064,4140927,198498,NA,68746,120930,46287,NA,1366266,7061802,NA,NA,92449
"9",NA,NA,287325,131530,392769,136524,123670,NA,381936,29383,2745908,NA,NA,NA,469314,NA,51156,19938,158217,36493,83597,126412,5698563,448393,123353,41128,NA,75332,661435,164947,53515,660896,238502,NA,1550911,86410,5129714,74150,77553,713657,231063,1666387,182664,32478,NA,219216,45416,40156,37556,78245,NA,229519,6979,2909927,46178,152814,31229,58164,NA,59970,220183,58789,NA,87094,301060,270550,3514899,53965,77225,105600,NA,NA,46713,184761,69403,NA,NA,NA,NA,NA,NA,NA,94463,329416,NA,33008,29825,41539,547250,76296,22487,NA,27420,NA,73486,NA,NA,730613,116704,NA,213011,NA,NA,NA,29921,NA,255042,54864,584707,280641,NA,105165,374850,NA,NA,9605248,57478,NA,NA,101683,87783,43531,NA,16496,83124,841982,47828,47074,59389,129808,NA,184639,21146000,57374,NA,NA,NA,145320,NA,100290,197623,78245,95717,505787,4152443,199153,NA,66857,124973,48841,NA,1374167,6781201,NA,NA,94709
"10",NA,NA,307085,137250,401844,138893,122096,NA,446788,30565,2995380,NA,NA,NA,459865,NA,69865,20032,155816,32032,84152,133126,6016795,456742,114942,39810,NA,75617,645813,167424,54221,724041,236785,NA,1648235,87391,5417489,75631,81706,698143,222583,1750656,190199,31152,NA,223368,47823,40653,39237,75247,NA,234963,6875,3009574,48577,153801,38065,56172,NA,58478,230961,61797,NA,91499,302850,279505,3596212,55068,102056,114415,NA,NA,46647,191252,82930,NA,NA,NA,NA,NA,NA,NA,96881,320776,NA,33173,28753,44714,551069,79817,23588,NA,28443,NA,82335,NA,NA,785446,117624,NA,216925,NA,NA,NA,37100,NA,272806,54893,604082,294137,NA,104643,364127,NA,NA,9797264,60537,NA,NA,112071,89451,45570,37562,20134,87847,891857,52440,52744,76223,132887,NA,180825,22839000,57270,NA,NA,NA,151997,NA,103647,206711,83379,98036,492633,4192666,198262,NA,70376,128768,55194,NA,1337381,6473210,NA,NA,91129
