"","ID_3447772","ID_208570","ID_382069","ID_283867","ID_915065","ID_2625724","ID_515054","ID_3357219","ID_625159","ID_2794732","ID_245276","ID_562076","ID_268677","ID_3337097","ID_827560","ID_596277","ID_3122828","ID_146056","ID_1157415","ID_209362","ID_1945247","ID_98717","ID_2736291","ID_935308","ID_609467","ID_497954","ID_3690635","ID_322850","ID_725732","ID_254849","ID_55635","ID_842460","ID_1002430","ID_3402913","ID_657365","ID_163857","ID_1001152","ID_2877840","ID_2360904","ID_711472","ID_867632","ID_996260","ID_837037","ID_2396592","ID_3547896","ID_567905","ID_3049729","ID_722227","ID_2496081","ID_815754","ID_3394380","ID_299868","ID_71859","ID_595869","ID_186856","ID_651121","ID_2942823","ID_218261","ID_4184186","ID_853251","ID_2297998","ID_956750","ID_1493319","ID_365745","ID_536527","ID_283438","ID_197478","ID_285759","ID_3109146","ID_3146150","ID_3561771","ID_3488980","ID_578237","ID_2694681","ID_2857794","ID_3546862","ID_3482045","ID_3468450","ID_518877","ID_897170","ID_3487947","ID_364270","ID_70218","ID_536059","ID_3832127","ID_664653","ID_524766","ID_2785477","ID_790534","ID_534466","ID_370833","ID_3470154","ID_49858","ID_3835454","ID_50461","ID_762773","ID_3216316","ID_1918344","ID_800853","ID_3650442","ID_533124","ID_3369959","ID_3390337","ID_3386264","ID_64552","ID_221775","ID_2332910","ID_1462986","ID_230759","ID_564557","ID_3296859","ID_779968","ID_680130","ID_3437456","ID_3212402","ID_510871","ID_519360","ID_3286999","ID_3388165","ID_2006024","ID_206772","ID_539452","ID_3189063","ID_3143805","ID_2833882","ID_671464","ID_2791085","ID_3076284","ID_2877484","ID_1169650","ID_26176","ID_609609","ID_940311","ID_804860","ID_3447875","ID_3623110","ID_3374878","ID_2354387","ID_3472859","ID_296456","ID_332224","ID_396253","ID_1972298","ID_777366","ID_663834","ID_300063","ID_250476","ID_2329200","ID_1852569","ID_2533043","ID_3346633","ID_716413","ID_816210","ID_3626184","ID_3645840","ID_980951"
"1",NA,NA,2493,1027,1602,953,1011,NA,2803,177,23464,NA,NA,NA,5432,NA,NA,127,1680,228,445,1097,46781,1444,2076,401,NA,592,4433,948,313,3812,2334,NA,9952,725,52304,327,418,4549,2517,17624,1104,236,NA,1392,NA,353,339,638,NA,3181,46,19407,422,1103,NA,427,NA,382,1898,332,NA,808,1554,972,25279,485,NA,NA,NA,NA,234,2309,272,NA,NA,NA,NA,NA,NA,NA,646,4082,NA,156,284,160,4054,645,166,NA,220,NA,470,NA,NA,5964,699,NA,1735,NA,NA,NA,77,NA,1842,482,5604,1895,NA,750,2036,NA,NA,76276,266,NA,NA,1080,689,307,NA,NA,473,3810,253,NA,103,1252,NA,1200,195000,438,NA,NA,NA,1241,NA,643,1136,764,635,4223,38609,2007,NA,741,866,354,NA,13874,81046,NA,NA,405
"2",NA,NA,4658,1932,3114,1935,1928,NA,5085,356,45055,NA,NA,NA,10779,NA,NA,248,3362,446,857,2240,90926,3117,3908,785,NA,1155,8539,1779,625,7505,4650,NA,18959,1432,97726,733,810,9073,4708,33185,2174,533,NA,2764,NA,698,682,1233,NA,6208,90,37066,817,2166,10,785,NA,783,3659,655,NA,1549,3009,1915,46800,892,NA,NA,NA,NA,460,4470,560,NA,NA,NA,NA,NA,NA,NA,1297,7942,NA,300,526,341,7638,1225,336,NA,452,NA,880,NA,NA,10966,1342,NA,3380,NA,NA,NA,151,NA,3562,929,10592,3775,NA,1487,3975,NA,NA,144353,505,NA,NA,2184,1355,597,NA,NA,993,7470,512,NA,261,2531,NA,2359,355000,838,NA,NA,NA,2446,NA,1245,2298,1335,1215,8078,79957,3950,NA,1413,1589,691,NA,25808,146271,NA,NA,884
"3",NA,NA,6410,2753,4530,2825,2666,NA,7036,523,66997,NA,NA,NA,15720,NA,NA,371,4902,632,1260,3260,135492,4777,5350,1155,NA,1685,12586,2478,920,11272,6779,NA,26710,2093,135405,1158,1178,13033,6693,45910,3128,830,NA,4025,0,1033,1040,1849,NA,8991,130,53032,1187,3193,53,1082,NA,1150,5223,957,NA,2193,4306,2900,65822,1237,NA,NA,NA,NA,693,6279,853,NA,NA,NA,NA,NA,NA,NA,1886,11265,NA,424,744,545,11300,1753,496,NA,679,NA,1235,NA,NA,15629,1899,NA,4809,NA,NA,NA,224,NA,5131,1323,14593,5576,NA,2154,5723,NA,NA,209892,729,NA,NA,3237,1946,861,NA,NA,1451,10841,781,NA,436,3696,NA,3476,502000,1213,NA,NA,NA,3548,NA,1810,3360,1833,1739,11481,113203,5792,NA,2068,2183,984,NA,36430,197965,NA,NA,1334
"4",NA,NA,7771,3444,5499,3564,3213,NA,8668,661,87518,NA,NA,NA,20048,NA,NA,485,6310,773,1576,4103,177389,6084,6468,1472,NA,2139,16233,2973,1195,14739,8285,NA,32990,2710,164733,1562,1512,15701,8317,55796,3934,1113,NA,5139,16,1324,1355,2385,NA,11322,167,66153,1472,4141,111,1321,NA,1464,6435,1221,NA,2686,5541,3813,81109,1557,NA,NA,NA,NA,891,7797,1129,NA,NA,NA,NA,NA,NA,NA,2263,13844,NA,533,922,716,14488,2210,634,NA,882,NA,1503,NA,NA,19184,2349,NA,5832,NA,NA,NA,292,NA,6409,1643,17563,7410,NA,2736,7378,NA,NA,280201,937,NA,NA,4083,2411,1081,NA,NA,1825,13749,994,8,615,4537,NA,4482,633000,1523,NA,NA,NA,4444,NA,2298,4347,2267,2180,14309,137150,7366,NA,2652,2618,1245,NA,45248,238144,NA,NA,1685
"5",NA,NA,1061,579,732,624,396,NA,1634,125,19301,NA,NA,NA,3750,NA,NA,97,1309,111,265,637,37229,1114,951,259,NA,378,3244,390,224,2984,1175,NA,4928,527,24323,339,324,1828,1244,7257,651,262,NA,978,56,232,260,462,NA,1747,32,10683,241,844,59,200,NA,272,921,215,NA,415,1113,878,11985,268,NA,NA,NA,NA,142,1184,251,NA,NA,NA,NA,NA,NA,NA,299,1924,NA,89,145,171,2929,391,117,NA,149,NA,234,NA,NA,2790,420,NA,831,NA,NA,NA,90,NA,1017,258,2225,1505,NA,467,1482,NA,NA,68256,178,NA,NA,693,386,187,NA,NA,422,2476,205,29,163,595,NA,923,120000,244,NA,NA,NA,787,NA,407,907,381,432,2343,20582,1067,NA,518,336,236,NA,7813,37479,NA,NA,292
"6",NA,NA,2231,1087,1456,1270,759,NA,3207,246,39121,NA,NA,NA,7297,NA,0,188,2579,219,497,1178,70235,2095,1822,470,NA,721,6530,754,437,5956,2261,NA,10053,1016,46699,654,669,3477,2444,13455,1254,486,NA,1930,182,450,491,879,NA,3340,61,20518,480,1594,123,376,NA,529,1805,439,NA,803,2151,1694,23896,521,7,NA,NA,NA,276,2203,513,NA,NA,NA,NA,NA,NA,NA,560,3537,NA,174,270,352,5795,762,213,NA,298,NA,445,NA,NA,5332,730,NA,1666,NA,NA,NA,184,NA,1971,505,4428,2978,NA,884,2786,NA,NA,137605,310,NA,NA,1351,743,366,NA,NA,855,5000,403,119,295,1034,NA,1922,242000,466,NA,NA,NA,1571,NA,784,1791,726,891,4681,38316,1918,NA,1016,654,524,NA,15649,81254,NA,NA,567
"7",NA,NA,3532,1571,2206,1945,1085,NA,4825,345,58157,NA,NA,NA,10726,NA,60,269,3830,328,705,1704,102686,3026,2661,682,NA,1032,9830,1080,649,9108,3288,NA,15821,1470,69248,966,1020,5013,3642,19772,1820,711,NA,2849,337,659,705,1261,NA,4894,89,30580,726,2314,192,538,NA,790,2752,679,NA,1213,3164,2618,35737,760,97,NA,NA,NA,401,3077,789,NA,NA,NA,NA,NA,NA,NA,815,5031,NA,260,388,545,8361,1143,296,NA,424,NA,649,NA,NA,8017,1089,NA,2505,NA,NA,NA,290,NA,2934,743,6900,4450,NA,1289,3938,NA,NA,209496,451,NA,NA,2025,1091,543,NA,NA,1284,8007,591,276,465,1412,NA,2789,360000,679,NA,NA,NA,2411,NA,1138,2670,1067,1356,7037,55983,2718,NA,1499,981,810,NA,23598,120598,NA,NA,855
"8",NA,NA,4698,2032,2838,2621,1371,NA,6610,440,77052,NA,NA,NA,13820,NA,162,347,4960,416,906,2205,133725,3903,3390,878,NA,1329,13082,1368,869,12249,4253,NA,21345,1892,89714,1278,1352,6493,4775,25768,2357,933,NA,3754,498,848,907,1613,NA,6413,113,39920,946,2961,265,699,NA,1044,3733,926,NA,1678,4120,3451,46777,977,298,38,NA,NA,523,3855,1053,NA,NA,NA,NA,NA,NA,NA,1048,6398,NA,346,499,765,10806,1531,374,NA,546,NA,791,NA,NA,10716,1413,NA,3261,NA,NA,NA,418,NA,3846,979,9123,5910,NA,1687,5070,NA,NA,278143,599,NA,NA,2705,1393,707,NA,69,1701,11043,778,461,654,1760,NA,3580,475000,888,NA,NA,NA,3210,NA,1480,3547,1371,1777,9163,72862,3539,NA,1989,1311,1094,NA,31299,158652,NA,NA,1132
"9",NA,NA,943,419,516,638,235,NA,1512,81,18925,NA,NA,NA,2882,NA,125,71,1037,71,153,420,27360,1592,632,181,NA,277,2840,267,195,3135,844,NA,5312,391,17604,298,329,1312,935,5187,521,203,NA,752,151,164,187,325,NA,1463,21,9135,210,576,71,140,NA,205,760,241,NA,469,813,842,9444,198,314,67,NA,NA,103,678,254,NA,NA,NA,NA,NA,NA,NA,200,1172,NA,94,100,228,2142,346,67,NA,104,NA,141,NA,NA,2604,287,NA,637,NA,NA,NA,138,NA,870,225,1870,1372,NA,309,1024,NA,NA,60482,149,NA,NA,640,261,151,NA,16,335,2966,176,187,244,319,NA,784,102000,201,NA,NA,NA,756,NA,320,844,263,372,1847,15248,738,NA,445,239,278,NA,6434,35147,NA,NA,257
"10",NA,NA,1807,794,952,1246,443,NA,2956,161,37399,NA,NA,NA,5556,NA,332,132,2005,130,302,817,52710,2826,1194,351,NA,550,5301,506,371,6685,1635,NA,10564,774,35017,597,665,2537,1770,10264,1046,361,NA,1492,290,319,367,654,NA,2917,39,18170,431,1136,162,266,NA,404,1475,495,NA,966,1575,1722,17782,381,681,191,NA,NA,201,1319,505,NA,NA,NA,NA,NA,NA,NA,381,2242,NA,224,190,461,4098,689,137,NA,205,NA,323,NA,NA,5152,550,NA,1256,NA,NA,NA,304,NA,1708,435,3716,2831,NA,663,2202,NA,NA,119407,321,NA,NA,1259,503,297,9,43,676,5839,349,379,498,619,NA,1558,194000,389,NA,NA,NA,1511,NA,600,1711,523,732,3558,29756,1426,NA,856,456,593,NA,12582,67945,NA,NA,500
