"Name","CITY","STATE","EST_DATE","FDIC Certificate Number","CLASS","REGULATOR","Minority_STATUS","FDIC_REGION","Total_ASSETS","IDRSSD","OCC Charter Number","OTS Docket Number","Primary ABA Routing Number","Financial Institution Name","Financial Institution Address","Financial Institution City","Financial Institution State","Financial Institution Zip Code","Financial Institution Filing Type","Last Date/Time Submission Updated On"
"ALAMERICA BANK","BIRMINGHAM","AL","20000128",35314,"NM","FDIC","B","ATLANTA",35577,2877484,0,17005,62006356,"ALAMERICA BANK","2170 HIGHLAND AVENUE SOUTH","BIRMINGHAM","AL","35205","041",2017-07-28 13:23:24
"COMMONWEALTH NATIONAL BANK","MOBILE","AL","19760219",22229,"N","OCC","B","ATLANTA",52552,578237,16553,0,65102833,"COMMONWEALTH NATIONAL BANK","2214 SAINT STEPHENS ROAD","MOBILE","AL","36617","051",2017-07-28 15:10:49
"BAC FLORIDA BANK","CORAL GABLES","FL","19731012",21265,"NM","FDIC","H","ATLANTA",1996652,725732,0,10221,67009044,"BAC FLORIDA BANK","169 MIRACLE MILE SUITE R10","CORAL GABLES","FL","33134","031",2017-07-28 14:46:47
"BANESCO USA","CORAL GABLES","FL","20060110",57815,"NM","FDIC","H","ATLANTA",982668,3402913,0,0,67015779,"BANESCO USA","150 ALHAMBRA CIRCLE SUITE 100","CORAL GABLES","FL","33134","031",2017-07-27 14:51:19
"CENTRAL BANK","TAMPA","FL","20070226",58377,"NM","FDIC","A","ATLANTA",127495,3468450,0,0,63116203,"CENTRAL BANK","20701 BRUCE B DOWNS BOULEVARD","TAMPA","FL","33647","051",2017-07-13 10:28:00
"CONTINENTAL NATIONAL BANK","MIAMI","FL","19740510",21578,"N","OCC","H","ATLANTA",491755,837037,16325,15208,66009456,"CONTINENTAL NATIONAL BANK","1801 S.W. 1ST STREET","MIAMI","FL","33135","041",2017-07-20 13:51:00
"EXECUTIVE NATIONAL BANK","MIAMI","FL","19720607",20711,"N","OCC","H","ATLANTA",392799,1002430,15974,11264,67008155,"EXECUTIVE NATIONAL BANK","9600 NORTH KENDALL DRIVE","MIAMI","FL","33176","041",2017-07-21 16:07:25
"INTERAMERICAN BANK A FSB","MIAMI","FL","19760823",31823,"SB","OCC","H","ATLANTA",202367,221775,707506,7506,267087769,"INTERAMERICAN BANK, A FEDERAL SAVINGS BANK","9190 CORAL WAY","MIAMI","FL","33165","051",2017-07-28 14:34:10
"INTERCONTINENTAL BANK","WEST MIAMI","FL","20020621",57214,"NM","FDIC","H","ATLANTA",154897,3122828,0,0,67015274,"INTERCONTINENTAL BANK","5722 SOUTHWEST 8TH STREET","WEST MIAMI","FL","33144","041",2017-07-24 13:34:57
"INTERNATIONAL FINANCE BANK","MIAMI","FL","19831130",24823,"NM","FDIC","H","ATLANTA",406111,867632,0,14561,67011692,"INTERNATIONAL FINANCE BANK","777 SOUTHWEST 37TH AVENUE SUITE 700","MIAMI","FL","33135","031",2017-07-26 16:55:33
"OCEAN BANK","MIAMI","FL","19821209",24156,"NM","FDIC","H","ATLANTA",3566673,663834,0,30742,66011392,"OCEAN BANK","780 NORTHWEST 42ND AVENUE","MIAMI","FL","33126","041",2017-08-01 10:09:49
"PLUS INTERNATIONAL BANK","MIAMI","FL","20010914",57083,"NM","FDIC","H","ATLANTA",82367,3049729,0,0,66015181,"PLUS INTERNATIONAL BANK","1000 BRICKELL AVENUE, SUITE 1100","MIAMI","FL","33131","041",2017-07-26 10:46:36
"SUNSTATE BANK","MIAMI","FL","19990315",34643,"NM","FDIC","H","ATLANTA",190774,2791085,0,0,67014592,"SUNSTATE BANK","14095 SOUTH DIXIE HIGHWAY","MIAMI","FL","33176","051",2017-07-26 19:27:15
"TOTALBANK","MIAMI","FL","19740305",21468,"NM","FDIC","H","ATLANTA",2968478,790534,0,17154,66009155,"TOTALBANK","100 SOUTHEAST 2ND STREET 32ND FLOOR","MIAMI","FL","33131","041",2017-07-27 13:49:19
"U S CENTURY BANK","DORAL","FL","20021028",57369,"NM","FDIC","H","ATLANTA",973876,3146150,0,0,67015397,"U.S. CENTURY BANK","2301 NW 87TH AVENUE","MIAMI","FL","33172","031",2017-07-28 14:04:28
