"","ID_3447772","ID_208570","ID_382069","ID_283867","ID_915065","ID_2625724","ID_515054","ID_3357219","ID_625159","ID_2794732","ID_245276","ID_562076","ID_268677","ID_3337097","ID_827560","ID_596277","ID_3122828","ID_146056","ID_1157415","ID_209362","ID_1945247","ID_98717","ID_2736291","ID_935308","ID_609467","ID_497954","ID_3690635","ID_322850","ID_725732","ID_254849","ID_55635","ID_842460","ID_1002430","ID_3402913","ID_657365","ID_163857","ID_1001152","ID_2877840","ID_2360904","ID_711472","ID_867632","ID_996260","ID_837037","ID_2396592","ID_3547896","ID_567905","ID_3049729","ID_722227","ID_2496081","ID_815754","ID_3394380","ID_299868","ID_71859","ID_595869","ID_186856","ID_651121","ID_2942823","ID_218261","ID_4184186","ID_853251","ID_2297998","ID_956750","ID_1493319","ID_365745","ID_536527","ID_283438","ID_197478","ID_285759","ID_3109146","ID_3146150","ID_3561771","ID_3488980","ID_578237","ID_2694681","ID_2857794","ID_3546862","ID_3482045","ID_3468450","ID_518877","ID_897170","ID_3487947","ID_364270","ID_70218","ID_536059","ID_3832127","ID_664653","ID_524766","ID_2785477","ID_790534","ID_534466","ID_370833","ID_3470154","ID_49858","ID_3835454","ID_50461","ID_762773","ID_3216316","ID_1918344","ID_800853","ID_3650442","ID_533124","ID_3369959","ID_3390337","ID_3386264","ID_64552","ID_221775","ID_2332910","ID_1462986","ID_230759","ID_564557","ID_3296859","ID_779968","ID_680130","ID_3437456","ID_3212402","ID_510871","ID_519360","ID_3286999","ID_3388165","ID_2006024","ID_206772","ID_539452","ID_3189063","ID_3143805","ID_2833882","ID_671464","ID_2791085","ID_3076284","ID_2877484","ID_1169650","ID_26176","ID_609609","ID_940311","ID_804860","ID_3447875","ID_3623110","ID_3374878","ID_2354387","ID_3472859","ID_296456","ID_332224","ID_396253","ID_1972298","ID_777366","ID_663834","ID_300063","ID_250476","ID_2329200","ID_1852569","ID_2533043","ID_3346633","ID_716413","ID_816210","ID_3626184","ID_3645840","ID_980951"
"1",NA,NA,43737,70218,217547,52918,71513,NA,78361,15435,431133,NA,NA,NA,287594,NA,NA,4702,112836,15383,46538,73404,4287538,36866,103719,32389,NA,44434,361857,45183,26928,245542,157522,NA,667580,46693,1966824,20439,30571,422181,120123,1088759,104957,15334,NA,96372,NA,22846,18353,46341,NA,193827,4560,1481663,23471,77987,NA,18516,NA,33020,95037,23446,NA,45779,136083,96575,1887470,31044,NA,NA,NA,NA,20495,134456,26630,NA,NA,NA,NA,NA,NA,NA,46182,174797,NA,10522,13307,9565,313553,35201,15023,NA,14223,NA,46387,NA,NA,318810,58661,NA,102668,NA,NA,NA,4757,NA,105399,20373,190518,124540,NA,41862,162484,NA,NA,3669037,26950,NA,NA,50812,53429,26992,NA,NA,34018,324881,14730,NA,14229,73293,NA,88160,95000,10923,NA,NA,NA,67713,NA,52234,113703,33824,49185,313609,2543143,133571,NA,43032,65135,24235,NA,1291186,4514545,NA,NA,37500
"2",NA,NA,44896,67581,219361,59313,73555,NA,78192,15367,469338,NA,NA,NA,282428,NA,NA,4342,119510,16431,44658,75582,4367892,104865,96333,31842,NA,42116,369838,47176,25480,250938,156066,NA,725107,47869,1996955,24305,33062,402926,103830,1144747,111095,17241,NA,94892,NA,22839,18067,47570,NA,192365,4671,1523921,26170,79433,464,19116,NA,33049,102079,25752,NA,44455,127205,99710,1973870,30135,NA,NA,NA,NA,20323,140787,26241,NA,NA,NA,NA,NA,NA,NA,49227,176968,NA,10607,14478,11286,324440,38110,14493,NA,15384,NA,47599,NA,NA,326962,58457,NA,104577,NA,NA,NA,4673,NA,108864,20966,187334,137056,NA,43570,162348,NA,NA,3844527,28552,NA,NA,45833,56963,26446,NA,NA,40747,332882,14259,NA,16557,72772,NA,93717,91000,10616,NA,NA,NA,69711,NA,55741,115435,33694,52154,321971,2689126,134727,NA,45295,65762,22678,NA,1313378,4453151,NA,NA,39562
"3",NA,NA,51160,66020,223023,61547,74650,NA,78476,16843,518642,NA,NA,NA,278588,NA,NA,4147,125705,17128,46216,75431,4452949,103548,95220,31249,NA,39512,402231,51938,28599,257278,156809,NA,782890,45781,2047003,29998,35198,404878,111880,1173514,115385,18760,NA,102903,0,23031,18555,49056,NA,185236,4615,1633803,25225,81108,2142,19382,NA,34152,102913,26132,NA,44283,135406,96539,2074550,30580,NA,NA,NA,NA,20498,140011,28313,NA,NA,NA,NA,NA,NA,NA,51237,174943,NA,10044,15243,12844,311199,39598,14406,NA,17161,NA,48818,NA,NA,353789,57035,NA,102961,NA,NA,NA,4502,NA,112309,21006,192439,165494,NA,43348,159092,NA,NA,3974667,30798,NA,NA,48122,60441,26448,NA,NA,44538,358191,16695,NA,19641,73755,NA,101924,104000,11283,NA,NA,NA,72918,NA,58457,116434,33828,52713,338401,2985582,129611,NA,44787,63847,22034,NA,1311382,4382849,NA,NA,41314
"4",NA,NA,50278,68467,224441,67390,73335,NA,149878,17785,564919,NA,NA,NA,278154,NA,NA,4970,128391,16613,43000,78759,4421732,97245,101647,32583,NA,39430,406921,48946,30723,269033,138153,NA,831126,47138,2248862,33285,39424,383960,93265,1218618,112849,19635,NA,99190,3063,21588,20970,49913,NA,180973,4498,1664005,24148,82859,5302,19141,NA,36859,112522,26690,NA,46035,138798,93070,2160146,33273,NA,NA,NA,NA,19833,134237,30960,NA,NA,NA,NA,NA,NA,NA,50764,177313,NA,10741,15317,15831,323900,39904,13991,NA,19463,NA,51569,NA,NA,380519,58544,NA,106807,NA,NA,NA,4395,NA,108228,23868,193777,178398,NA,45484,158298,NA,NA,4293932,30842,NA,NA,48024,59209,26445,NA,NA,51660,377589,18678,0,16669,72689,NA,102517,110000,11757,NA,NA,NA,74737,NA,62972,121886,33112,57381,324160,3013792,135814,NA,47900,65356,22350,NA,1321563,4441815,NA,NA,41356
"5",NA,NA,57290,72136,233083,74268,70411,NA,142486,18419,565762,NA,NA,NA,276460,NA,NA,4848,129776,16681,40885,77614,4322768,86329,103260,32263,NA,40804,435390,44882,30988,279822,129613,NA,870792,45367,2242695,36152,43745,374577,88115,1173696,115310,20954,NA,95374,6846,21287,20087,47171,NA,177906,4120,1677157,26167,82033,7234,18816,NA,36437,127231,28967,NA,45851,134917,88564,2261379,32995,NA,NA,NA,NA,19882,138438,31940,NA,NA,NA,NA,NA,NA,NA,50940,178283,NA,12213,14082,18619,407315,41638,13732,NA,19848,NA,50879,NA,NA,398054,60647,NA,105591,NA,NA,NA,14654,NA,117702,26339,191707,188056,NA,47350,155924,NA,NA,4383556,31891,NA,NA,49070,61827,26055,NA,NA,53417,407484,17392,3236,18575,76873,NA,104202,1e+05,12008,NA,NA,NA,73073,NA,63421,125621,32717,63370,331558,3000159,132682,NA,48961,63794,24761,NA,1353825,4297190,NA,NA,42560
"6",NA,NA,62718,77603,240159,79238,69201,NA,139793,18426,584570,NA,NA,NA,270477,NA,17,4198,138180,15429,41589,81337,4475083,78793,101066,32615,NA,41443,490116,47859,30781,300971,119439,NA,935098,47559,2277153,38513,45365,363317,70838,1248749,113978,21621,NA,98107,14656,21816,19717,45158,NA,177114,4163,1722931,26908,82849,9135,19353,NA,37356,131602,31214,NA,49378,136204,91381,2413357,34019,2272,NA,NA,NA,20260,139143,35100,NA,NA,NA,NA,NA,NA,NA,53417,174538,NA,13499,15044,23094,399606,43274,14311,NA,19040,NA,52657,NA,NA,433258,63442,NA,110136,NA,NA,NA,17710,NA,127254,30406,202330,196321,NA,43989,153659,NA,NA,4675478,31799,NA,NA,54252,63053,27700,NA,NA,57051,446741,18350,17492,22499,80961,NA,107086,97000,12581,NA,NA,NA,84674,NA,63653,127329,35124,67161,348495,3059758,136250,NA,51276,68161,29081,NA,1361033,4124408,NA,NA,45504
"7",NA,NA,66338,77789,246869,84618,68173,NA,137618,19059,625763,NA,NA,NA,275915,NA,3575,4068,133032,14316,44344,81738,4491088,71530,93703,31678,NA,41826,469584,48888,30351,324662,112125,NA,966141,49944,2257260,44819,49198,365591,82805,1239760,114102,21513,NA,102054,20998,22234,19193,46687,NA,177283,4151,1848272,27307,84319,10363,20020,NA,37989,134991,33806,NA,53117,136738,96146,2305317,34609,15376,NA,NA,NA,20354,136196,38287,NA,NA,NA,NA,NA,NA,NA,57060,181254,NA,14736,14977,25691,383381,47597,14773,NA,19806,NA,55036,NA,NA,443377,63080,NA,112906,NA,NA,NA,21537,NA,136076,33890,205361,206404,NA,44137,156607,NA,NA,4933357,33496,NA,NA,52452,61647,27912,NA,NA,60248,465202,20432,27023,27528,81038,NA,112998,91000,13012,NA,NA,NA,90359,NA,67485,135486,34694,68150,351808,3095178,143934,NA,51571,65423,32795,NA,1349745,3957196,NA,NA,48090
"8",NA,NA,72985,80119,257077,92380,67318,NA,134452,18863,670292,NA,NA,NA,276439,NA,8621,4698,135331,11555,44133,86571,4450610,246322,89569,31777,NA,41084,478066,51457,31296,358095,102235,NA,1016407,53039,2333382,45817,51141,355632,77535,1272459,115563,21540,NA,109195,24810,21964,18617,47855,NA,182745,4018,1872621,26776,85265,12021,20436,NA,39767,141798,37686,NA,54292,137918,101425,2348199,36486,29772,13361,NA,NA,20614,134204,40922,NA,NA,NA,NA,NA,NA,NA,57863,179665,NA,14667,14494,28632,373200,47535,15340,NA,19307,NA,53685,NA,NA,447300,64204,NA,121571,NA,NA,NA,20993,NA,142340,35089,227270,217125,NA,44286,174678,NA,NA,5538716,37071,NA,NA,51892,55529,29030,NA,788,58602,527959,21520,30427,31979,89222,NA,120173,85000,13635,NA,NA,NA,98377,NA,69525,140153,34138,70083,352246,3070149,147019,NA,52712,90327,36218,NA,1322967,3853532,NA,NA,47605
"9",NA,NA,75471,80867,255263,101048,67808,NA,129608,19585,688939,NA,NA,NA,270199,NA,9558,4522,140726,9328,42710,88905,4456716,241186,86986,33061,NA,41261,470409,51437,31896,388357,102421,NA,1075153,56831,2303573,46140,53049,355382,75281,1173277,123409,22016,NA,103365,25694,21833,18970,50860,NA,184111,4030,1950693,27202,87743,14408,20946,NA,40255,143590,38493,NA,54711,142283,100148,2591310,36596,39887,30160,NA,NA,19704,135851,40396,NA,NA,NA,NA,NA,NA,NA,57529,178092,NA,18423,12676,30821,376215,50179,15681,NA,17628,NA,56868,NA,NA,444848,63253,NA,130833,NA,NA,NA,21821,NA,141993,35581,232876,225566,NA,44682,204367,NA,NA,5827737,42717,NA,NA,54946,63676,29741,NA,4450,60505,587641,24136,35963,33159,90458,NA,125141,67000,14160,NA,NA,NA,109759,NA,70787,145738,33972,70226,358851,2991458,142119,NA,50901,91993,37358,NA,1328824,4093675,NA,NA,48301
"10",NA,NA,79394,80102,260425,110571,65385,NA,128842,20943,740410,NA,NA,NA,280059,NA,9491,3796,136104,8793,47879,96882,4680922,311245,75005,33043,NA,42134,476015,51830,32308,428583,99139,NA,1126616,60053,2301265,50976,60645,356266,72014,1142412,130551,21785,NA,110872,30001,23057,18375,52569,NA,186663,4362,1949148,26274,91156,22166,21194,NA,43655,146228,42232,NA,55890,152239,108688,2767652,39218,47215,43290,NA,NA,19301,136390,43361,NA,NA,NA,NA,NA,NA,NA,62238,185519,NA,19682,13804,31389,368955,55612,16480,NA,16569,NA,57819,NA,NA,467431,67584,NA,145530,NA,NA,NA,25079,NA,162255,35107,231882,231860,NA,43206,204645,NA,NA,6199182,42648,NA,NA,53040,64234,30409,774,8245,64648,608396,25432,40431,42338,93823,NA,129108,56000,14498,NA,NA,NA,116638,NA,71136,144335,31753,74692,351506,3051055,150749,NA,53029,87159,37338,NA,1294102,4023331,NA,NA,50018
