"","ID_3447772","ID_208570","ID_382069","ID_283867","ID_915065","ID_2625724","ID_515054","ID_3357219","ID_625159","ID_2794732","ID_245276","ID_562076","ID_268677","ID_3337097","ID_827560","ID_596277","ID_3122828","ID_146056","ID_1157415","ID_209362","ID_1945247","ID_98717","ID_2736291","ID_935308","ID_609467","ID_497954","ID_3690635","ID_322850","ID_725732","ID_254849","ID_55635","ID_842460","ID_1002430","ID_3402913","ID_657365","ID_163857","ID_1001152","ID_2877840","ID_2360904","ID_711472","ID_867632","ID_996260","ID_837037","ID_2396592","ID_3547896","ID_567905","ID_3049729","ID_722227","ID_2496081","ID_815754","ID_3394380","ID_299868","ID_71859","ID_595869","ID_186856","ID_651121","ID_2942823","ID_218261","ID_4184186","ID_853251","ID_2297998","ID_956750","ID_1493319","ID_365745","ID_536527","ID_283438","ID_197478","ID_285759","ID_3109146","ID_3146150","ID_3561771","ID_3488980","ID_578237","ID_2694681","ID_2857794","ID_3546862","ID_3482045","ID_3468450","ID_518877","ID_897170","ID_3487947","ID_364270","ID_70218","ID_536059","ID_3832127","ID_664653","ID_524766","ID_2785477","ID_790534","ID_534466","ID_370833","ID_3470154","ID_49858","ID_3835454","ID_50461","ID_762773","ID_3216316","ID_1918344","ID_800853","ID_3650442","ID_533124","ID_3369959","ID_3390337","ID_3386264","ID_64552","ID_221775","ID_2332910","ID_1462986","ID_230759","ID_564557","ID_3296859","ID_779968","ID_680130","ID_3437456","ID_3212402","ID_510871","ID_519360","ID_3286999","ID_3388165","ID_2006024","ID_206772","ID_539452","ID_3189063","ID_3143805","ID_2833882","ID_671464","ID_2791085","ID_3076284","ID_2877484","ID_1169650","ID_26176","ID_609609","ID_940311","ID_804860","ID_3447875","ID_3623110","ID_3374878","ID_2354387","ID_3472859","ID_296456","ID_332224","ID_396253","ID_1972298","ID_777366","ID_663834","ID_300063","ID_250476","ID_2329200","ID_1852569","ID_2533043","ID_3346633","ID_716413","ID_816210","ID_3626184","ID_3645840","ID_980951"
"1",NA,NA,17019,8447,26304,8215,12988,NA,19397,2032,130605,NA,NA,NA,47092,NA,NA,2647,10371,3002,6709,13216,365749,9698,13045,2532,NA,13077,36194,7756,3521,25848,19770,NA,87423,7588,294321,6230,3661,97266,16207,136621,13212,2267,NA,12084,NA,7355,6569,4197,NA,23540,616,202068,3023,13380,NA,4117,NA,4164,15137,2752,NA,5661,18448,12010,191201,5960,NA,NA,NA,NA,2842,14636,5691,NA,NA,NA,NA,NA,NA,NA,7373,36558,NA,1382,2579,3229,28706,5319,1504,NA,2544,NA,13314,NA,NA,52892,8338,NA,10702,NA,NA,NA,603,NA,30829,6550,44562,10348,NA,11957,20914,NA,NA,359543,4429,NA,NA,6628,9155,5767,NA,NA,5831,45065,5936,NA,9601,11845,NA,13709,1222000,7962,NA,NA,NA,7689,NA,6525,16956,6760,6231,31984,247978,16931,NA,5520,8688,3255,NA,153994,549245,NA,NA,7058
"2",NA,NA,17783,8785,25937,8344,13167,NA,20209,2078,115301,NA,NA,NA,48035,NA,NA,2712,10744,3037,6710,13427,369717,13991,13175,2601,NA,13078,37502,8232,3569,26965,20255,NA,91747,7770,296899,6237,3800,97323,14376,142086,13626,2350,NA,11091,NA,7392,6615,4303,NA,23784,619,210329,3092,13568,6154,4241,NA,4235,15519,3912,NA,5790,19201,12383,206128,6094,NA,NA,NA,NA,2869,14811,5675,NA,NA,NA,NA,NA,NA,NA,7574,37104,NA,1402,2523,2901,30025,5452,1344,NA,2590,NA,13664,NA,NA,53104,8095,NA,11249,NA,NA,NA,591,NA,31107,6563,44284,11484,NA,12257,21475,NA,NA,452112,4519,NA,NA,6837,9234,5842,NA,NA,5983,47105,6871,NA,9703,12263,NA,14034,1259000,8127,NA,NA,NA,7955,NA,6758,16595,6692,6368,32178,257071,17234,NA,5695,8838,3998,NA,156303,556383,NA,NA,7411
"3",NA,NA,18739,9021,26046,8503,13044,NA,21135,2107,118984,NA,NA,NA,46997,NA,NA,2749,10899,3094,6481,13689,375873,14447,13269,2742,NA,13122,39340,11077,3871,27947,20889,NA,96482,7949,309728,6292,3937,97771,17004,148029,13859,2425,NA,11421,9497,7261,6667,4655,NA,23930,610,214623,3432,13925,5586,4260,NA,4244,15199,3997,NA,6085,19555,15691,216123,6258,NA,NA,NA,NA,2921,15057,5714,NA,NA,NA,NA,NA,NA,NA,7737,36745,NA,1394,2572,2619,31069,5616,1313,NA,2648,NA,13995,NA,NA,55137,8296,NA,11744,NA,NA,NA,607,NA,31352,6588,46630,14315,NA,12394,21141,NA,NA,466284,4575,NA,NA,6987,9284,6060,NA,NA,7536,49282,6818,NA,9805,12704,NA,14314,1294000,8269,NA,NA,NA,8130,NA,6990,16740,7021,6547,32586,255189,17512,NA,5878,9028,4327,NA,159648,565895,NA,NA,7822
"4",NA,NA,19737,9330,25770,8536,13430,NA,20034,2667,128462,NA,NA,NA,49853,NA,NA,2579,10947,3096,6051,14141,393466,16338,9986,2774,NA,9474,40359,11298,3916,29211,21154,NA,100345,8129,336486,6304,4061,80155,16267,154412,14057,2285,NA,12769,9153,6816,6257,4696,NA,24578,634,224259,3411,14185,5205,4401,NA,4430,15600,3893,NA,6063,20313,16334,228691,5889,NA,NA,NA,NA,3014,15311,5972,NA,NA,NA,NA,NA,NA,NA,7885,36128,NA,8031,2604,3106,29041,5797,1512,NA,2739,NA,14326,NA,NA,57032,8248,NA,11977,NA,NA,NA,604,NA,31388,6628,40822,15556,NA,12504,22106,NA,NA,481762,4656,NA,NA,6852,9451,5088,NA,NA,7682,51151,6826,5989,9940,13005,NA,14752,1182000,7852,NA,NA,NA,8490,NA,7112,17011,7301,6448,32200,259118,17864,NA,6106,8686,4382,NA,161400,566139,NA,NA,7547
"5",NA,NA,18893,9628,26162,8700,13430,NA,21636,2720,138872,NA,NA,NA,50553,NA,NA,2633,11467,3119,5880,14473,398950,16693,10150,2893,NA,9833,41148,11800,4025,33116,21626,NA,104494,8188,347233,6239,4219,82889,16183,159870,14244,2363,NA,13309,8947,6835,6193,4944,NA,24871,634,230619,3530,14526,4859,4957,NA,4425,16186,3860,NA,5982,20926,16797,239502,6048,NA,NA,NA,NA,3107,15773,5882,NA,NA,NA,NA,NA,NA,NA,7998,36751,NA,7670,2646,3395,31614,6023,2047,NA,2839,NA,13742,NA,NA,58762,8730,NA,12322,NA,NA,NA,2770,NA,31285,6645,43318,17261,NA,10198,21564,NA,NA,489828,4717,NA,NA,7459,9581,5388,NA,NA,7988,53072,6892,5577,10016,12565,NA,15033,1219000,8092,NA,NA,NA,8713,NA,7231,17090,7710,6647,34317,265677,18326,NA,6301,8819,4444,NA,161459,578240,NA,NA,7548
"6",NA,NA,20283,10198,26964,8933,13423,NA,23392,2784,146785,NA,NA,NA,49938,NA,6324,2684,11576,3082,5861,14332,420573,16214,10316,2952,NA,9630,41656,12264,4167,39649,21758,NA,107547,8492,366375,6281,4296,83023,16278,162010,14470,2429,NA,13655,8824,6902,6220,5033,NA,25335,645,242908,3606,14750,4475,4803,NA,4433,16097,3830,NA,6131,21344,17414,250633,6181,6382,NA,NA,NA,3128,15929,5891,NA,NA,NA,NA,NA,NA,NA,8197,37485,NA,7229,2694,3233,32869,6207,1941,NA,2920,NA,13200,NA,NA,58989,8488,NA,11886,NA,NA,NA,2717,NA,31415,6596,45916,16483,NA,9592,22129,NA,NA,506403,4791,NA,NA,7696,9782,5438,NA,NA,8252,55377,6935,5207,10168,13103,NA,15486,1117000,8254,NA,NA,NA,8921,NA,7517,17033,8113,6845,36408,310120,18937,NA,6534,9064,4465,NA,164047,581188,NA,NA,7945
"7",NA,NA,23571,10563,27032,9195,13613,NA,25425,2857,158932,NA,NA,NA,48535,NA,6186,2732,12192,3014,6112,14537,427626,18341,9829,2961,NA,10051,43254,12656,4308,41902,22058,NA,112743,8589,397799,6420,5481,82550,17220,168271,14698,2414,NA,14147,8853,7024,6306,5371,NA,25840,657,253429,3708,15242,4124,4869,NA,4430,16944,3942,NA,6302,21704,17833,259237,6309,6288,NA,NA,NA,3230,16062,6618,NA,NA,NA,NA,NA,NA,NA,8113,38073,NA,6426,2711,3260,33412,6378,1942,NA,2952,NA,13143,NA,NA,61139,8544,NA,12249,NA,NA,NA,2645,NA,31650,6646,49045,18072,NA,9439,27042,NA,NA,622362,4871,NA,NA,8228,10000,5376,NA,NA,8771,59904,6968,5042,10591,13502,NA,15825,1233000,8422,NA,NA,NA,9598,NA,7790,17156,8403,7007,36663,323509,19576,NA,6791,9161,4515,NA,166737,572172,NA,NA,8360
"8",NA,NA,25203,10954,27249,9359,13845,NA,27451,2803,164437,NA,NA,NA,51640,NA,6207,2573,11744,3032,6037,15150,436264,22007,9578,3047,NA,9734,40565,13046,4436,43233,22374,NA,117645,9014,409373,6548,5701,79972,17196,175048,14908,2419,NA,16531,8810,6804,5804,5299,NA,26314,649,262874,3644,15540,4489,4807,NA,4702,16662,4069,NA,6138,21976,18958,278256,6042,6496,29067,NA,NA,3406,15725,6633,NA,NA,NA,NA,NA,NA,NA,8112,38267,NA,5366,2683,3241,35295,6605,1904,NA,3030,NA,13416,NA,NA,59620,8485,NA,12332,NA,NA,NA,2771,NA,31826,6662,52095,19989,NA,14591,27775,NA,NA,632478,4991,NA,NA,8241,10166,5419,NA,5991,9322,63394,7028,6200,10471,13818,NA,12751,1255000,7913,NA,NA,NA,10414,NA,7865,17257,8442,7081,37738,323782,19761,NA,7000,9230,4676,NA,166632,547970,NA,NA,8343
"9",NA,NA,26885,11378,27705,12735,14012,NA,29386,2833,209016,NA,NA,NA,39258,NA,6242,2620,12666,2974,5935,15421,444700,23098,8925,2974,NA,9908,41571,13277,4549,45656,22717,NA,121933,9142,429652,6610,6847,81043,17552,181742,15118,2473,NA,17003,8821,7009,5763,5390,NA,26581,638,272962,3782,15960,4324,4844,NA,4729,17354,4235,NA,6350,22299,19527,280187,6249,6800,29158,NA,NA,3500,15834,6628,NA,NA,NA,NA,NA,NA,NA,8140,38692,NA,4770,2717,3247,35386,6859,1946,NA,2933,NA,12904,NA,NA,61463,8954,NA,12489,NA,NA,NA,2835,NA,32053,6747,54952,21673,NA,14997,27422,NA,NA,655288,5083,NA,NA,8781,10246,5462,NA,5597,9638,66252,9994,6176,10131,13693,NA,13315,1303000,8056,NA,NA,NA,11180,NA,8085,17500,8649,7293,38149,319759,20370,NA,7246,9535,4863,NA,165476,547586,NA,NA,8308
"10",NA,NA,28507,11909,27974,13087,14197,NA,31263,2882,186309,NA,NA,NA,42602,NA,6314,2681,13489,2933,5747,15697,454916,22733,7526,2984,NA,9655,44168,13543,4680,52641,22948,NA,127107,9352,453329,6690,7124,81179,17557,186852,15345,2519,NA,17035,8877,6933,5760,5493,NA,26832,647,282591,3822,16262,4776,4910,NA,4748,18253,4355,NA,6444,22941,19987,293939,6365,7207,29435,NA,NA,3545,16012,10675,NA,NA,NA,NA,NA,NA,NA,8155,39119,NA,4256,2790,3324,35080,7115,1962,NA,2810,NA,12820,NA,NA,62442,8944,NA,12879,NA,NA,NA,3594,NA,32294,6803,57556,26478,NA,15166,28086,NA,NA,662313,5174,NA,NA,9103,10410,5346,26204,5229,10866,68992,12202,6266,10185,14117,NA,13815,1324000,8206,NA,NA,NA,11738,NA,8423,17706,8881,7489,39125,334059,20700,NA,7527,10985,5039,NA,167094,541168,NA,NA,8647
