IDRSSD,DATE,CITY,STATE,MinorityStatusCode
26176,12/31/2003,Los Angeles,CA,B
26176,3/31/2004,Los Angeles,CA,B
26176,6/30/2004,Los Angeles,CA,B
26176,9/30/2004,Los Angeles,CA,B
26176,12/31/2004,Los Angeles,CA,B
26176,3/31/2005,Los Angeles,CA,B
26176,6/30/2005,Los Angeles,CA,B
26176,9/30/2005,Los Angeles,CA,B
26176,12/31/2005,Los Angeles,CA,B
26176,3/31/2006,Los Angeles,CA,B
26176,6/30/2006,Los Angeles,CA,B
26176,9/30/2006,Los Angeles,CA,B
26176,12/31/2006,Los Angeles,CA,B
26176,12/31/2007,Los Angeles,CA,B
26176,12/31/2008,Los Angeles,CA,B
26176,3/31/2009,Los Angeles,CA,B
26176,6/30/2009,Los Angeles,CA,B
26176,9/30/2009,Los Angeles,CA,B
26176,12/31/2009,Los Angeles,CA,B
26176,3/31/2010,Los Angeles,CA,B
26176,6/30/2010,Los Angeles,CA,B
26176,9/30/2010,Los Angeles,CA,B
26176,12/31/2010,Los Angeles,CA,B
26176,3/31/2011,Los Angeles,CA,B
26176,6/30/2011,Los Angeles,CA,B
26176,9/30/2011,Los Angeles,CA,B
26176,12/31/2011,Los Angeles,CA,B
26176,3/31/2012,Los Angeles,CA,B
26176,6/30/2012,Los Angeles,CA,B
26176,9/30/2012,Los Angeles,CA,B
26176,12/31/2012,Los Angeles,CA,B
26176,3/31/2013,Los Angeles,CA,B
26176,6/30/2013,Los Angeles,CA,B
26176,9/30/2013,Los Angeles,CA,B
26176,12/31/2013,Los Angeles,CA,B
26176,3/31/2014,Los Angeles,CA,B
26176,6/30/2014,Los Angeles,CA,B
26176,9/30/2014,Los Angeles,CA,B
26176,12/31/2014,Los Angeles,CA,B
26176,3/31/2015,,,
26176,6/30/2015,,,
26176,9/30/2015,,,
26176,12/31/2015,Los Angeles,CA,B
26176,3/31/2016,,,
26176,6/30/2016,,,
26176,9/30/2016,,,
26176,12/31/2016,Los Angeles,CA,B
26176,3/31/2017,,,
26176,6/30/2017,,,
26176,9/30/2017,,,
26765,12/31/2007,,,
26765,3/31/2008,,,
26765,6/30/2008,,,
26765,9/30/2008,,,
26765,12/31/2008,,,
26765,3/31/2009,,,
26765,6/30/2009,,,
26765,9/30/2009,,,
26765,12/31/2009,,,
49858,12/31/2003,Hebbronville,TX,H
49858,3/31/2004,Hebbronville,TX,H
49858,6/30/2004,Hebbronville,TX,H
49858,9/30/2004,Hebbronville,TX,H
49858,12/31/2004,Hebbronville,TX,H
49858,3/31/2005,Hebbronville,TX,H
49858,6/30/2005,Hebbronville,TX,H
49858,9/30/2005,Hebbronville,TX,H
49858,12/31/2005,Hebbronville,TX,H
49858,3/31/2006,Hebbronville,TX,H
49858,6/30/2006,Hebbronville,TX,H
49858,9/30/2006,Hebbronville,TX,H
49858,12/31/2006,Mcallen,TX,H
49858,3/31/2007,Mcallen,TX,H
49858,6/30/2007,Mcallen,TX,H
49858,9/30/2007,Mcallen,TX,H
49858,12/31/2007,Mcallen,TX,H
49858,3/31/2008,Mcallen,TX,H
49858,6/30/2008,Mcallen,TX,H
49858,9/30/2008,Mcallen,TX,H
49858,12/31/2008,Mcallen,TX,H
49858,3/31/2009,Mcallen,TX,H
49858,6/30/2009,Mcallen,TX,H
49858,9/30/2009,Mcallen,TX,H
49858,12/31/2009,Mcallen,TX,H
49858,3/31/2010,Mcallen,TX,H
49858,6/30/2010,Mcallen,TX,H
49858,9/30/2010,Mcallen,TX,H
49858,12/31/2010,Mcallen,TX,H
49858,3/31/2011,Mcallen,TX,H
49858,6/30/2011,Mcallen,TX,H
49858,9/30/2011,Mcallen,TX,H
49858,12/31/2011,Mcallen,TX,H
49858,3/31/2012,Mcallen,TX,H
49858,6/30/2012,Mcallen,TX,H
49858,9/30/2012,Mcallen,TX,H
49858,12/31/2012,Mcallen,TX,H
49858,3/31/2013,Mcallen,TX,H
49858,6/30/2013,Mcallen,TX,H
49858,9/30/2013,Mcallen,TX,H
49858,12/31/2013,Mcallen,TX,H
49858,3/31/2014,Mcallen,TX,H
49858,6/30/2014,Mcallen,TX,H
49858,9/30/2014,Mcallen,TX,H
49858,12/31/2014,Mcallen,TX,H
49858,3/31/2015,,,
49858,6/30/2015,,,
49858,9/30/2015,,,
49858,12/31/2015,Mcallen,TX,H
49858,3/31/2016,,,
49858,6/30/2016,,,
49858,9/30/2016,,,
49858,12/31/2016,Mcallen,TX,H
49858,3/31/2017,,,
49858,6/30/2017,,,
49858,9/30/2017,,,
50461,12/31/2010,San Francisco,CA,A
50461,3/31/2011,San Francisco,CA,A
50461,6/30/2011,San Francisco,CA,A
50461,9/30/2011,San Francisco,CA,A
50461,12/31/2011,San Francisco,CA,A
50461,3/31/2012,San Francisco,CA,A
50461,6/30/2012,San Francisco,CA,A
50461,9/30/2012,San Francisco,CA,A
50461,12/31/2012,San Francisco,CA,A
50461,3/31/2013,San Francisco,CA,A
50461,6/30/2013,San Francisco,CA,A
