"","ID_3447772","ID_208570","ID_382069","ID_283867","ID_915065","ID_2625724","ID_515054","ID_3357219","ID_625159","ID_2794732","ID_245276","ID_562076","ID_268677","ID_3337097","ID_827560","ID_596277","ID_3122828","ID_146056","ID_1157415","ID_209362","ID_1945247","ID_98717","ID_2736291","ID_935308","ID_609467","ID_497954","ID_3690635","ID_322850","ID_725732","ID_254849","ID_55635","ID_842460","ID_1002430","ID_3402913","ID_657365","ID_163857","ID_1001152","ID_2877840","ID_2360904","ID_711472","ID_867632","ID_996260","ID_837037","ID_2396592","ID_3547896","ID_567905","ID_3049729","ID_722227","ID_2496081","ID_815754","ID_3394380","ID_299868","ID_71859","ID_595869","ID_186856","ID_651121","ID_2942823","ID_218261","ID_4184186","ID_853251","ID_2297998","ID_956750","ID_1493319","ID_365745","ID_536527","ID_283438","ID_197478","ID_285759","ID_3109146","ID_3146150","ID_3561771","ID_3488980","ID_578237","ID_2694681","ID_2857794","ID_3546862","ID_3482045","ID_3468450","ID_518877","ID_897170","ID_3487947","ID_364270","ID_70218","ID_536059","ID_3832127","ID_664653","ID_524766","ID_2785477","ID_790534","ID_534466","ID_370833","ID_3470154","ID_49858","ID_3835454","ID_50461","ID_762773","ID_3216316","ID_1918344","ID_800853","ID_3650442","ID_533124","ID_3369959","ID_3390337","ID_3386264","ID_64552","ID_221775","ID_2332910","ID_1462986","ID_230759","ID_564557","ID_3296859","ID_779968","ID_680130","ID_3437456","ID_3212402","ID_510871","ID_519360","ID_3286999","ID_3388165","ID_2006024","ID_206772","ID_539452","ID_3189063","ID_3143805","ID_2833882","ID_671464","ID_2791085","ID_3076284","ID_2877484","ID_1169650","ID_26176","ID_609609","ID_940311","ID_804860","ID_3447875","ID_3623110","ID_3374878","ID_2354387","ID_3472859","ID_296456","ID_332224","ID_396253","ID_1972298","ID_777366","ID_663834","ID_300063","ID_250476","ID_2329200","ID_1852569","ID_2533043","ID_3346633","ID_716413","ID_816210","ID_3626184","ID_3645840","ID_980951"
"1",NA,NA,13752,21192,75614,13616,6174,NA,20410,8379,24647,NA,NA,NA,32,NA,NA,304,8081,1119,8439,6824,1642798,5943,38141,2363,NA,17431,12129,6500,2629,95814,51972,NA,201444,8038,376597,15966,1876,113722,41875,170931,4865,1783,NA,17104,NA,705,6721,10430,NA,162,190,349986,3711,6833,NA,1327,NA,5137,8227,5109,NA,2993,12149,28425,339325,7266,NA,NA,NA,NA,1225,32599,234,NA,NA,NA,NA,NA,NA,NA,7269,33061,NA,4606,2917,1242,94902,2406,974,NA,5459,NA,33300,NA,NA,147447,6943,NA,19978,NA,NA,NA,683,NA,20903,705,24578,6717,NA,17174,47498,NA,NA,1049444,7366,NA,NA,7179,226,1826,NA,NA,9357,127903,4822,NA,6857,4961,NA,15017,95000,9,NA,NA,NA,43816,NA,9217,8894,10987,8345,40661,560834,5901,NA,13389,14741,4889,NA,221335,1080876,NA,NA,7290
"2",NA,NA,12536,16728,77012,15585,6375,NA,19582,5071,25828,NA,NA,NA,32,NA,NA,375,7630,1221,6713,9407,1690942,27742,33668,1654,NA,12883,14144,6330,1721,91149,53586,NA,224277,8896,381030,18389,1790,106927,44962,189339,16298,1788,NA,16856,NA,690,6697,10432,NA,171,191,350567,4419,6930,328,1398,NA,4482,5831,5424,NA,2930,10088,31708,360958,6597,NA,NA,NA,NA,2615,35843,245,NA,NA,NA,NA,NA,NA,NA,8308,37667,NA,4378,2801,1528,104818,2316,966,NA,5670,NA,33221,NA,NA,145132,7359,NA,20478,NA,NA,NA,661,NA,22154,896,33930,7505,NA,18300,47194,NA,NA,1064655,8355,NA,NA,5948,130,1759,NA,NA,10215,128135,4947,NA,7262,4904,NA,15749,85000,9,NA,NA,NA,48435,NA,9088,8558,11067,9102,39848,568743,5773,NA,14550,14120,5173,NA,223809,1046863,NA,NA,8027
"3",NA,NA,14894,17007,77332,16984,6923,NA,19231,7465,26691,NA,NA,NA,28,NA,NA,373,10106,1100,8094,10282,1727538,31134,29977,1779,NA,10375,15119,9343,1753,93265,52655,NA,238630,9160,393407,22965,1938,102309,43140,225961,16158,2012,NA,20981,0,683,6320,9712,NA,143,224,391417,4217,6873,865,1552,NA,5712,5059,5070,NA,2590,14929,35172,347379,6799,NA,NA,NA,NA,2740,32886,195,NA,NA,NA,NA,NA,NA,NA,9900,33863,NA,4101,2815,2630,91722,2464,958,NA,6413,NA,33587,NA,NA,155995,6555,NA,20997,NA,NA,NA,463,NA,20796,924,34886,10013,NA,20241,47831,NA,NA,1092737,9664,NA,NA,6088,151,2157,NA,NA,10275,134225,4865,NA,8776,4466,NA,16921,98000,9,NA,NA,NA,54341,NA,9366,6873,12228,8755,43857,595226,5689,NA,14269,14463,3428,NA,208761,1046687,NA,NA,7749
"4",NA,NA,13515,16758,74026,22473,5722,NA,32480,6524,33071,NA,NA,NA,28,NA,NA,392,9660,1192,7605,10087,1723334,30509,26662,1497,NA,10582,18496,9230,2155,93798,44041,NA,250108,8937,401611,25319,1531,95982,23753,254280,16998,2744,NA,17336,3078,677,6648,10228,NA,175,283,400261,3584,7644,1814,1372,NA,5302,5092,4441,NA,2806,13236,34403,355203,8548,NA,NA,NA,NA,2365,31354,132,NA,NA,NA,NA,NA,NA,NA,9592,34455,NA,5480,2787,3731,94636,2690,948,NA,8254,NA,34875,NA,NA,153775,6269,NA,23066,NA,NA,NA,505,NA,18117,838,33590,8372,NA,22427,49352,NA,NA,1229840,11067,NA,NA,5348,60,2427,NA,NA,11925,132206,4820,0,5755,6235,NA,16219,104000,791,NA,NA,NA,24963,NA,9688,6121,10683,10215,39353,590170,5231,NA,15501,16279,3044,NA,185872,1084989,NA,NA,7607
"5",NA,NA,17456,17433,76518,23106,5184,NA,28602,5471,33943,NA,NA,NA,28,NA,NA,386,10457,1232,5227,9274,1666132,23547,25303,1687,NA,10736,18827,6538,3077,92961,39996,NA,269600,8900,393046,7585,1510,93061,29177,229383,5660,3112,NA,15894,6820,669,6211,8250,NA,171,243,396362,3459,7501,2515,1190,NA,4404,4226,4887,NA,3608,9721,9231,315258,7520,NA,NA,NA,NA,2265,33003,119,NA,NA,NA,NA,NA,NA,NA,11158,34218,NA,6174,2641,3841,88740,3374,1502,NA,7984,NA,34921,NA,NA,151298,7760,NA,23489,NA,NA,NA,1746,NA,24952,607,35002,11495,NA,24474,47604,NA,NA,1226491,2434,NA,NA,6045,36,1897,NA,NA,14666,129682,4280,881,6372,7268,NA,15333,94000,765,NA,NA,NA,27779,NA,10181,6204,10292,11041,42167,568817,5209,NA,13696,16410,2387,NA,220451,1048452,NA,NA,8066
"6",NA,NA,17237,18540,78272,22381,4615,NA,27322,5390,41204,NA,NA,NA,28,NA,0,395,10853,951,5038,7400,1678120,22490,19777,2118,NA,9990,24440,8131,2612,92295,37482,NA,280595,9232,412495,7451,1437,87324,17923,234041,6643,2949,NA,14620,12345,704,5434,7384,NA,163,255,407583,4732,7395,3202,1159,NA,5808,4698,5480,NA,4150,8373,10173,331853,7671,0,NA,NA,NA,2731,32126,119,NA,NA,NA,NA,NA,NA,NA,10533,31931,NA,6497,2576,3838,88421,3418,1312,NA,7117,NA,31225,NA,NA,161426,7469,NA,30129,NA,NA,NA,2393,NA,31414,676,34347,11745,NA,21072,49601,NA,NA,1280536,2348,NA,NA,8101,10,2754,NA,NA,14952,141283,4841,6716,7227,7340,NA,15059,91000,1687,NA,NA,NA,35910,NA,11877,5939,10866,12770,41066,553773,4400,NA,14839,16259,2988,NA,191942,1026712,NA,NA,9625
"7",NA,NA,17632,17404,77770,23061,4477,NA,26661,2068,41490,NA,NA,NA,24,NA,814,359,10660,890,6481,5268,1695273,18937,16216,2332,NA,10611,25101,7872,2041,94458,34323,NA,283071,9166,414723,7797,1284,82942,10769,185649,6367,2597,NA,14206,18346,669,5206,6934,NA,65,264,415935,4781,7280,3744,1440,NA,6788,4455,5888,NA,3873,6449,7462,317200,7775,0,NA,NA,NA,2873,30804,106,NA,NA,NA,NA,NA,NA,NA,10413,38414,NA,7151,2493,3510,74882,4639,1817,NA,7963,NA,31992,NA,NA,149290,6601,NA,31693,NA,NA,NA,2327,NA,29517,810,33700,11754,NA,21082,53136,NA,NA,1345774,2005,NA,NA,5440,0,2725,NA,NA,15540,143602,5406,10180,9127,7419,NA,14497,85000,1869,NA,NA,NA,41593,NA,13299,6997,10732,12828,38977,548735,4870,NA,14739,15550,2995,NA,199555,949837,NA,NA,10062
"8",NA,NA,18015,18024,83009,23404,5572,NA,28941,2108,40659,NA,NA,NA,24,NA,1553,368,10680,1059,6650,5789,1711077,21097,11077,2509,NA,10836,24213,11189,2222,100376,27799,NA,276032,9538,409569,3609,1253,80565,12297,185903,7038,2708,NA,14254,22264,338,5577,6896,NA,65,261,425406,3464,6760,4654,1735,NA,7994,4491,6457,NA,3521,8686,11620,329909,7872,0,1379,NA,NA,3186,33856,139,NA,NA,NA,NA,NA,NA,NA,9382,34052,NA,7235,2349,3881,73896,4327,1914,NA,7909,NA,31439,NA,NA,135341,6598,NA,31142,NA,NA,NA,1728,NA,29350,806,32974,10035,NA,21908,53953,NA,NA,1395951,2643,NA,NA,5343,0,1676,NA,0,16380,157671,5871,11977,8057,7547,NA,13698,79000,1773,NA,NA,NA,46342,NA,15262,7328,10289,13138,41211,524823,4305,NA,15425,18142,3399,NA,198420,872861,NA,NA,9722
"9",NA,NA,17485,17910,83235,24382,4917,NA,27349,2195,37912,NA,NA,NA,24,NA,1957,347,10395,906,7454,7281,1753875,15985,11061,2417,NA,12008,21440,10491,2505,103036,29725,NA,273785,10123,401082,3609,858,76563,12099,172565,5786,2676,NA,11862,23654,388,5888,6743,NA,65,319,454057,3746,7006,5649,1582,NA,8103,3996,6879,NA,3700,6952,11123,378284,7772,0,12023,NA,NA,3448,29855,96,NA,NA,NA,NA,NA,NA,NA,9995,32487,NA,9746,2293,3793,70574,4190,2216,NA,6217,NA,35504,NA,NA,132812,5570,NA,40809,NA,NA,NA,1512,NA,30155,789,31936,16373,NA,25433,55264,NA,NA,1422518,3874,NA,NA,6024,0,1844,NA,76,18558,163620,6520,15284,9191,7526,NA,13948,61000,1676,NA,NA,NA,15718,NA,15368,5505,9958,12721,43035,514415,4345,NA,14010,17642,4621,NA,198403,823162,NA,NA,11272
"10",NA,NA,16569,17304,90941,22714,5303,NA,25466,2023,41573,NA,NA,NA,24,NA,2296,298,9990,953,7484,9260,1868002,13541,5339,2547,NA,12877,4759,11052,1311,90013,23779,NA,300906,9716,412872,3669,848,76218,10861,157304,6843,1670,NA,15193,27956,397,5967,5868,NA,0,372,452146,3441,7666,7209,1650,NA,10580,4076,7258,NA,3556,5667,12472,381176,6926,0,11224,NA,NA,2009,27621,178,NA,NA,NA,NA,NA,NA,NA,10735,33947,NA,10347,2120,3641,61260,5127,2548,NA,6021,NA,37461,NA,NA,134225,6487,NA,45684,NA,NA,NA,1338,NA,33893,710,29344,32056,NA,25735,53091,NA,NA,1531904,3826,NA,NA,6657,0,1773,781,348,14256,171763,6526,16330,12559,8313,NA,13936,51000,1838,NA,NA,NA,19315,NA,14508,4262,9035,11602,43272,516404,3550,NA,15014,16326,4895,NA,178984,755857,NA,NA,11774
