"","ID_3447772","ID_208570","ID_382069","ID_283867","ID_915065","ID_2625724","ID_515054","ID_3357219","ID_625159","ID_2794732","ID_245276","ID_562076","ID_268677","ID_3337097","ID_827560","ID_596277","ID_3122828","ID_146056","ID_1157415","ID_209362","ID_1945247","ID_98717","ID_2736291","ID_935308","ID_609467","ID_497954","ID_3690635","ID_322850","ID_725732","ID_254849","ID_55635","ID_842460","ID_1002430","ID_3402913","ID_657365","ID_163857","ID_1001152","ID_2877840","ID_2360904","ID_711472","ID_867632","ID_996260","ID_837037","ID_2396592","ID_3547896","ID_567905","ID_3049729","ID_722227","ID_2496081","ID_815754","ID_3394380","ID_299868","ID_71859","ID_595869","ID_186856","ID_651121","ID_2942823","ID_218261","ID_4184186","ID_853251","ID_2297998","ID_956750","ID_1493319","ID_365745","ID_536527","ID_283438","ID_197478","ID_285759","ID_3109146","ID_3146150","ID_3561771","ID_3488980","ID_578237","ID_2694681","ID_2857794","ID_3546862","ID_3482045","ID_3468450","ID_518877","ID_897170","ID_3487947","ID_364270","ID_70218","ID_536059","ID_3832127","ID_664653","ID_524766","ID_2785477","ID_790534","ID_534466","ID_370833","ID_3470154","ID_49858","ID_3835454","ID_50461","ID_762773","ID_3216316","ID_1918344","ID_800853","ID_3650442","ID_533124","ID_3369959","ID_3390337","ID_3386264","ID_64552","ID_221775","ID_2332910","ID_1462986","ID_230759","ID_564557","ID_3296859","ID_779968","ID_680130","ID_3437456","ID_3212402","ID_510871","ID_519360","ID_3286999","ID_3388165","ID_2006024","ID_206772","ID_539452","ID_3189063","ID_3143805","ID_2833882","ID_671464","ID_2791085","ID_3076284","ID_2877484","ID_1169650","ID_26176","ID_609609","ID_940311","ID_804860","ID_3447875","ID_3623110","ID_3374878","ID_2354387","ID_3472859","ID_296456","ID_332224","ID_396253","ID_1972298","ID_777366","ID_663834","ID_300063","ID_250476","ID_2329200","ID_1852569","ID_2533043","ID_3346633","ID_716413","ID_816210","ID_3626184","ID_3645840","ID_980951"
"1",NA,NA,740,295,205,174,296,NA,855,21,2829,NA,NA,NA,38,NA,NA,46,1054,45,-68,203,2143,194,34,60,NA,387,1286,321,45,1059,-45,NA,3998,178,17320,-52,100,2579,-118,5721,321,83,NA,390,NA,-58,-46,102,NA,869,-29,9426,105,341,NA,187,NA,66,346,61,NA,61,871,336,10171,211,NA,NA,NA,NA,74,105,-73,NA,NA,NA,NA,NA,NA,NA,85,756,NA,-20,69,-195,1312,72,10,NA,65,NA,338,NA,NA,2169,594,NA,175,NA,NA,NA,0,NA,257,19,2168,600,NA,268,851,NA,NA,17367,82,NA,NA,456,118,289,NA,NA,-80,2017,-82,NA,85,294,NA,407,67000,162,NA,NA,NA,285,NA,632,250,396,101,617,10674,350,NA,150,140,32,NA,2744,11242,NA,NA,258
"2",NA,NA,1504,610,239,303,475,NA,1625,43,7525,NA,NA,NA,805,NA,NA,112,1954,71,-113,414,3336,686,165,169,NA,547,2697,857,92,2175,500,NA,8329,222,33553,-45,240,4339,-1990,10944,508,155,NA,663,NA,-196,0,301,NA,1864,-28,19785,250,656,-822,311,NA,132,728,119,NA,190,1550,706,20327,429,NA,NA,NA,NA,101,286,-89,NA,NA,NA,NA,NA,NA,NA,287,1301,NA,-1,34,-396,3215,205,-151,NA,110,NA,761,NA,NA,4142,998,NA,329,NA,NA,NA,-12,NA,528,31,4333,1736,NA,568,1412,NA,NA,37348,171,NA,NA,665,222,493,NA,NA,71,4018,-146,NA,188,669,NA,732,132000,327,NA,NA,NA,538,NA,1266,456,328,233,1376,19605,653,NA,325,290,25,NA,5054,25259,NA,NA,547
"3",NA,NA,2460,819,240,462,330,NA,2509,64,14315,NA,NA,NA,1654,NA,NA,148,2553,128,-386,676,7036,1132,260,246,NA,724,4143,1358,390,3144,1148,NA,13025,392,51023,10,377,5946,-6362,16645,727,219,NA,934,-653,-265,52,426,NA,2762,-37,31325,667,1004,-1391,430,NA,201,1166,188,NA,312,2124,1311,30166,679,NA,NA,NA,NA,153,532,-50,NA,NA,NA,NA,NA,NA,NA,423,943,NA,-8,87,-572,4450,369,-185,NA,169,NA,1093,NA,NA,6133,1604,NA,638,NA,NA,NA,4,NA,773,56,6621,3077,NA,705,1078,NA,NA,59876,227,NA,NA,815,270,810,NA,NA,156,5761,-200,NA,289,1110,NA,1012,197000,468,NA,NA,NA,813,NA,1898,669,658,410,2071,17650,941,NA,508,534,6,NA,8870,42523,NA,NA,895
"4",NA,NA,3458,1103,234,495,716,NA,3366,90,23957,NA,NA,NA,2848,NA,NA,228,3219,145,-870,1128,12400,2764,-3763,350,NA,576,5172,1804,433,4407,1428,NA,17279,562,66850,21,518,7183,-9099,23560,980,152,NA,1361,-997,-450,-358,586,NA,4162,-12,42891,717,1410,-1781,571,NA,447,1501,85,NA,452,2822,1625,41131,850,NA,NA,NA,NA,162,787,208,NA,NA,NA,NA,NA,NA,NA,587,353,NA,-188,180,-687,2247,550,13,NA,259,NA,1366,NA,NA,8028,2039,NA,823,NA,NA,NA,1,NA,809,98,8753,4393,NA,817,2043,NA,NA,83503,308,NA,NA,1580,439,1090,NA,NA,302,7760,-192,-365,423,1410,NA,1450,260000,603,NA,NA,NA,1173,NA,2481,1047,938,452,2829,21233,1315,NA,736,696,105,NA,10553,47725,NA,NA,1172
"5",NA,NA,1156,298,21,164,251,NA,1560,23,10410,NA,NA,NA,824,NA,NA,54,520,23,-214,332,5002,310,166,140,NA,358,1555,519,109,1406,490,NA,4156,334,17789,-65,158,1880,-6,5458,203,67,NA,510,-188,56,-64,121,NA,1020,0,11438,183,332,-377,264,NA,79,586,-66,NA,219,577,352,12009,160,NA,NA,NA,NA,62,461,-90,NA,NA,NA,NA,NA,NA,NA,124,642,NA,-381,62,-188,539,164,535,NA,100,NA,206,NA,NA,1742,487,NA,252,NA,NA,NA,-99,NA,-102,-6,2496,1755,NA,-224,398,NA,NA,24184,62,NA,NA,607,159,298,NA,NA,306,2141,66,-412,97,236,NA,280,67000,239,NA,NA,NA,223,NA,509,240,409,199,908,12096,474,NA,195,183,77,NA,-9,13609,NA,NA,325
"6",NA,NA,2546,851,227,398,243,NA,3235,78,22323,NA,NA,NA,1716,NA,24,105,890,-14,-279,191,11841,-274,332,248,NA,430,2032,1069,250,2938,672,NA,7214,628,37461,-21,295,3703,42,7599,423,129,NA,1053,-329,130,-37,267,NA,2235,11,23821,384,696,-765,510,NA,141,1271,-96,NA,369,1192,969,24351,379,-478,NA,NA,NA,147,615,-81,NA,NA,NA,NA,NA,NA,NA,143,1345,NA,-863,109,-350,1103,347,426,NA,181,NA,414,NA,NA,3773,1089,NA,510,NA,NA,NA,-171,NA,27,-33,5094,3781,NA,-814,964,NA,NA,51148,136,NA,NA,1144,355,608,NA,NA,572,4056,109,-782,248,774,NA,734,136000,401,NA,NA,NA,431,NA,1212,683,812,362,2789,22499,1078,NA,428,366,98,NA,2510,20766,NA,NA,658
"7",NA,NA,5834,1325,304,659,433,NA,5109,78,34471,NA,NA,NA,2531,NA,-114,153,1506,-82,-94,396,18371,472,-155,306,NA,917,3654,1569,392,5179,972,NA,12430,1015,61216,117,479,5553,961,13859,647,110,NA,1513,-300,404,49,925,NA,3492,23,36885,570,1095,-1115,776,NA,182,2117,15,NA,543,1787,1521,37922,592,-573,NA,NA,NA,222,750,646,NA,NA,NA,NA,NA,NA,NA,218,1917,NA,-1663,127,-428,1762,519,430,NA,277,NA,358,NA,NA,5922,1611,NA,832,NA,NA,NA,-240,NA,262,17,8223,5920,NA,-967,1416,NA,NA,90362,215,NA,NA,1676,569,817,NA,NA,976,6863,142,-947,671,1173,NA,1073,204000,570,NA,NA,NA,858,NA,1986,940,1202,524,3542,34672,1680,NA,685,586,148,NA,5131,23471,NA,NA,1009
"8",NA,NA,7466,1701,564,823,666,NA,7144,94,46476,NA,NA,NA,3696,NA,-93,194,1544,-56,-217,1009,26016,826,-3404,431,NA,1040,982,1959,520,6979,1289,NA,17372,1450,84347,245,699,4437,936,20636,858,157,NA,1871,-343,113,-453,998,NA,4717,15,49032,598,1566,-1473,1031,NA,516,2543,143,NA,734,2045,2152,51329,763,-364,-1149,NA,NA,281,414,661,NA,NA,NA,NA,NA,NA,NA,215,2112,NA,-2551,218,-447,3644,745,391,NA,357,NA,591,NA,NA,4403,2046,NA,1212,NA,NA,NA,-667,NA,438,33,11273,7952,NA,-815,2050,NA,NA,125527,335,NA,NA,2389,735,1048,NA,-1384,1527,9347,203,-978,552,1489,NA,-2001,255000,703,NA,NA,NA,1177,NA,2560,1223,1591,740,4209,39408,2023,NA,894,751,389,NA,4957,20639,NA,NA,1147
"9",NA,NA,1682,400,271,387,392,NA,1882,22,12937,NA,NA,NA,762,NA,35,47,922,-58,-147,271,7237,275,-638,79,NA,283,1057,231,112,1954,342,NA,4288,427,25013,62,206,1045,361,6694,216,50,NA,438,11,40,-41,216,NA,982,-11,12633,192,385,-325,287,NA,87,692,152,NA,196,584,559,12620,207,304,90,NA,NA,101,107,-6,NA,NA,NA,NA,NA,NA,NA,42,425,NA,-596,54,6,444,254,42,NA,-84,NA,140,NA,NA,1792,470,NA,427,NA,NA,NA,63,NA,226,86,2857,2184,NA,406,726,NA,NA,38333,92,NA,NA,540,133,250,NA,-394,316,2555,-35,-35,129,551,NA,563,76000,143,NA,NA,NA,266,NA,745,356,306,212,958,10050,567,NA,246,324,186,NA,-1225,2973,NA,NA,327
"10",NA,NA,3304,907,540,917,576,NA,3707,66,26872,NA,NA,NA,2129,NA,107,108,2205,-103,-379,547,16241,567,-2032,105,NA,464,3674,497,243,3938,742,NA,9406,836,48423,142,366,2408,354,11804,443,91,NA,791,66,133,-44,419,NA,1984,-2,26037,351,810,-605,553,NA,168,1590,272,NA,291,1202,1256,28162,413,711,366,NA,NA,166,283,141,NA,NA,NA,NA,NA,NA,NA,76,853,NA,-1110,126,83,329,510,57,NA,-116,NA,406,NA,NA,3918,1055,NA,831,NA,NA,NA,121,NA,468,142,5465,4290,NA,575,1531,NA,NA,56788,183,NA,NA,1002,296,506,-1146,-761,583,5725,174,47,293,975,NA,1064,148000,293,NA,NA,NA,574,NA,1633,696,683,408,1774,23065,1030,NA,527,617,363,NA,335,8140,NA,NA,665
