"","ID_3447772","ID_208570","ID_382069","ID_283867","ID_915065","ID_2625724","ID_515054","ID_3357219","ID_625159","ID_2794732","ID_245276","ID_562076","ID_268677","ID_3337097","ID_827560","ID_596277","ID_3122828","ID_146056","ID_1157415","ID_209362","ID_1945247","ID_98717","ID_2736291","ID_935308","ID_609467","ID_497954","ID_3690635","ID_322850","ID_725732","ID_254849","ID_55635","ID_842460","ID_1002430","ID_3402913","ID_657365","ID_163857","ID_1001152","ID_2877840","ID_2360904","ID_711472","ID_867632","ID_996260","ID_837037","ID_2396592","ID_3547896","ID_567905","ID_3049729","ID_722227","ID_2496081","ID_815754","ID_3394380","ID_299868","ID_71859","ID_595869","ID_186856","ID_651121","ID_2942823","ID_218261","ID_4184186","ID_853251","ID_2297998","ID_956750","ID_1493319","ID_365745","ID_536527","ID_283438","ID_197478","ID_285759","ID_3109146","ID_3146150","ID_3561771","ID_3488980","ID_578237","ID_2694681","ID_2857794","ID_3546862","ID_3482045","ID_3468450","ID_518877","ID_897170","ID_3487947","ID_364270","ID_70218","ID_536059","ID_3832127","ID_664653","ID_524766","ID_2785477","ID_790534","ID_534466","ID_370833","ID_3470154","ID_49858","ID_3835454","ID_50461","ID_762773","ID_3216316","ID_1918344","ID_800853","ID_3650442","ID_533124","ID_3369959","ID_3390337","ID_3386264","ID_64552","ID_221775","ID_2332910","ID_1462986","ID_230759","ID_564557","ID_3296859","ID_779968","ID_680130","ID_3437456","ID_3212402","ID_510871","ID_519360","ID_3286999","ID_3388165","ID_2006024","ID_206772","ID_539452","ID_3189063","ID_3143805","ID_2833882","ID_671464","ID_2791085","ID_3076284","ID_2877484","ID_1169650","ID_26176","ID_609609","ID_940311","ID_804860","ID_3447875","ID_3623110","ID_3374878","ID_2354387","ID_3472859","ID_296456","ID_332224","ID_396253","ID_1972298","ID_777366","ID_663834","ID_300063","ID_250476","ID_2329200","ID_1852569","ID_2533043","ID_3346633","ID_716413","ID_816210","ID_3626184","ID_3645840","ID_980951"
"1",NA,NA,811,1447,4582,561,1210,NA,809,318,7873,NA,NA,NA,4224,NA,NA,102,672,385,1722,835,47995,1502,1237,520,NA,553,4098,1511,598,2454,2009,NA,7202,491,25653,469,321,8109,1915,8028,2276,199,NA,1586,NA,606,340,577,NA,2669,121,11151,323,1162,NA,338,NA,814,665,533,NA,581,3583,2505,16250,446,NA,NA,NA,NA,448,1340,475,NA,NA,NA,NA,NA,NA,NA,923,2165,NA,341,222,419,5271,416,436,NA,248,NA,754,NA,NA,3308,1087,NA,2043,NA,NA,NA,64,NA,1127,309,2875,1421,NA,1087,3349,NA,NA,29746,621,NA,NA,588,739,303,NA,NA,1140,4224,348,NA,299,889,NA,1325,124000,345,NA,NA,NA,775,NA,766,1889,495,822,4224,21154,1368,NA,387,1247,291,NA,9383,42735,NA,NA,636
"2",NA,NA,1680,2974,9231,1124,2533,NA,1749,639,17800,NA,NA,NA,7848,NA,NA,184,1355,764,3501,1693,97556,3989,2499,1030,NA,1130,8187,3104,1165,4754,4104,NA,14799,966,53778,940,643,16429,4113,15897,4600,403,NA,3362,NA,1014,670,1125,NA,5290,213,21407,653,2406,828,692,NA,1636,1322,1074,NA,1151,7354,5221,32322,892,NA,NA,NA,NA,923,2704,940,NA,NA,NA,NA,NA,NA,NA,1833,4446,NA,661,445,906,10516,864,913,NA,506,NA,1376,NA,NA,6549,2356,NA,4181,NA,NA,NA,111,NA,2233,601,5807,2929,NA,1996,6673,NA,NA,59932,1245,NA,NA,1183,1477,670,NA,NA,2510,8890,698,NA,601,1787,NA,2767,259000,717,NA,NA,NA,1527,NA,1564,3667,1113,1650,8351,42755,2724,NA,759,2484,591,NA,19823,86123,NA,NA,1293
"3",NA,NA,2537,4430,14160,1738,3797,NA,2653,946,28288,NA,NA,NA,11623,NA,NA,301,2092,1152,5269,2570,147000,7061,3659,1545,NA,1675,12461,4703,1861,7541,6282,NA,22486,1483,81920,1464,988,24490,6325,22974,6972,600,NA,5263,751,1522,1065,1690,NA,7790,324,31882,1006,3666,1430,1064,NA,2458,1984,1711,NA,1722,11290,7835,48887,1343,NA,NA,NA,NA,1374,4068,1412,NA,NA,NA,NA,NA,NA,NA,2862,6605,NA,1020,676,1419,15964,1301,1399,NA,748,NA,2262,NA,NA,10141,3384,NA,6341,NA,NA,NA,169,NA,3409,910,8737,4563,NA,2974,10653,NA,NA,89798,1877,NA,NA,1791,2332,955,NA,NA,3965,14138,1075,NA,920,2550,NA,4197,392000,1081,NA,NA,NA,2242,NA,2427,5514,1696,2578,12613,92436,4154,NA,1149,3647,931,NA,29119,132537,NA,NA,1995
"4",NA,NA,3482,5920,19005,2494,5092,NA,3626,1316,38266,NA,NA,NA,15755,NA,NA,413,2833,1505,7042,3373,197136,10245,5312,2109,NA,2198,17161,6553,2430,10294,9049,NA,31126,2040,112328,1998,1376,33098,9544,30797,9613,815,NA,7823,1220,2210,1426,2302,NA,10009,415,43455,1416,5025,1864,1434,NA,3235,3220,2348,NA,2301,15125,10776,65210,1860,NA,NA,NA,NA,1825,5490,2025,NA,NA,NA,NA,NA,NA,NA,3802,9153,NA,1644,894,1938,22116,1751,1914,NA,993,NA,3480,NA,NA,13496,4765,NA,8505,NA,NA,NA,244,NA,4760,1230,12063,6784,NA,3998,14012,NA,NA,120657,2471,NA,NA,3073,3033,1269,NA,NA,5469,19978,1436,370,1242,3262,NA,5532,528000,1468,NA,NA,NA,3073,NA,3439,7222,2361,3531,17813,130545,5497,NA,1557,4857,1251,NA,39260,180028,NA,NA,2765
"5",NA,NA,905,1409,4739,674,1286,NA,1391,357,11082,NA,NA,NA,4175,NA,NA,99,814,330,1618,875,48668,2859,1179,493,NA,505,4425,1630,617,2787,2368,NA,7678,531,30232,531,404,7561,1931,7182,2417,213,NA,1854,356,490,393,599,NA,2615,95,10824,346,1340,455,338,NA,822,724,686,NA,593,3960,2715,16542,473,NA,NA,NA,NA,490,1355,732,NA,NA,NA,NA,NA,NA,NA,948,2227,NA,715,253,533,5283,444,541,NA,266,NA,629,NA,NA,3447,1174,NA,2022,NA,NA,NA,309,NA,1405,327,3001,2135,NA,943,3276,NA,NA,31735,642,NA,NA,561,698,328,NA,NA,1398,5349,387,435,315,1004,NA,1436,138000,383,NA,NA,NA,775,NA,1062,1996,571,1006,4249,22683,1384,NA,428,1185,321,NA,10330,46075,NA,NA,688
"6",NA,NA,1992,2989,9452,1383,2694,NA,3061,715,24233,NA,NA,NA,8220,NA,86,195,1633,692,3126,1740,101783,5697,2350,1045,NA,1149,8943,3307,1243,5835,4809,NA,15979,1054,62920,1094,831,15071,3972,14367,4852,455,NA,3785,723,900,806,1202,NA,5177,184,21174,703,2804,975,691,NA,1698,1418,1447,NA,1154,8087,5387,29737,961,490,NA,NA,NA,968,2929,1458,NA,NA,NA,NA,NA,NA,NA,2250,4637,NA,1574,482,1075,10453,901,998,NA,513,NA,1287,NA,NA,7049,2307,NA,4175,NA,NA,NA,674,NA,3005,644,6169,4238,NA,2001,6807,NA,NA,63555,1324,NA,NA,1206,1388,653,NA,NA,2999,11106,772,870,663,1865,NA,2849,281000,782,NA,NA,NA,1598,NA,1970,3737,1198,2022,8769,45499,2785,NA,895,2364,719,NA,21751,92677,NA,NA,1391
"7",NA,NA,2967,4496,14366,2117,4042,NA,4688,1158,38378,NA,NA,NA,12400,NA,438,295,2456,1074,4613,2663,151282,8534,3624,1590,NA,1592,13711,5093,1897,9073,7185,NA,24363,1616,95369,1609,1240,22578,5722,21779,7280,700,NA,5708,1071,1567,1195,1832,NA,7659,283,31978,1082,4283,1488,1041,NA,2602,2155,2200,NA,1741,12163,8035,45232,1493,820,NA,NA,NA,1501,4468,2348,NA,NA,NA,NA,NA,NA,NA,3347,7143,NA,2611,735,1596,15423,1444,1402,NA,787,NA,1956,NA,NA,10641,3468,NA,6361,NA,NA,NA,1017,NA,4542,966,9287,6385,NA,3004,10410,NA,NA,96148,1995,NA,NA,1919,2097,1015,NA,NA,4656,17043,1155,1364,1018,2782,NA,4331,427000,1235,NA,NA,NA,2497,NA,2929,5723,1885,3098,13309,66931,4153,NA,1358,3546,1177,NA,32294,137456,NA,NA,2151
"8",NA,NA,4100,6073,19187,2991,5317,NA,6226,1603,49608,NA,NA,NA,16376,NA,807,426,3200,1379,6098,3515,201275,12037,7963,2155,NA,2221,22864,6817,2575,12596,9373,NA,33526,2192,129470,2168,1668,31591,7943,29892,9684,967,NA,8083,1456,2058,1585,2572,NA,10072,382,43857,1533,5787,2046,1410,NA,3494,3713,2956,NA,2356,16503,11347,60784,2100,1180,677,NA,NA,1994,6888,3190,NA,NA,NA,NA,NA,NA,NA,4572,10232,NA,3778,975,2132,21335,1915,1816,NA,1081,NA,2599,NA,NA,12191,4765,NA,8824,NA,NA,NA,1484,NA,6016,1284,12527,8931,NA,3983,13858,NA,NA,132199,2690,NA,NA,3394,2786,1398,NA,1375,6404,23492,1591,1883,1424,3810,NA,9600,597000,1711,NA,NA,NA,3463,NA,4114,7671,2656,4126,18399,87683,6051,NA,1849,4801,1722,NA,40132,183450,NA,NA,3231
"9",NA,NA,1093,1450,4877,815,1382,NA,1525,431,12055,NA,NA,NA,4430,NA,372,103,767,305,1404,916,50368,3970,1636,569,NA,534,5557,1692,645,4065,2270,NA,8857,588,30577,583,473,7958,1857,7716,2439,231,NA,2071,399,535,374,683,NA,2609,105,11070,385,1490,551,350,NA,890,823,818,NA,651,4204,2856,16417,539,386,369,NA,NA,476,1602,965,NA,NA,NA,NA,NA,NA,NA,1060,2681,NA,998,247,498,4960,499,368,NA,290,NA,654,NA,NA,3757,1129,NA,2035,NA,NA,NA,362,NA,1488,314,3371,2444,NA,1081,3383,NA,NA,39345,656,NA,NA,662,710,362,NA,424,1895,6098,545,549,378,835,NA,1376,148000,460,NA,NA,NA,994,NA,987,1977,643,1018,4438,23496,1370,NA,491,1170,502,NA,11409,46138,NA,NA,739
"10",NA,NA,2232,3029,9772,1719,2785,NA,3216,845,23855,NA,NA,NA,8663,NA,822,188,1534,570,2826,1811,99568,8251,3509,1138,NA,1080,10887,3401,1305,8543,4469,NA,18941,1251,65800,1229,1063,16253,3608,15937,4969,488,NA,4306,863,1104,726,1382,NA,5146,192,23269,778,3016,1117,713,NA,1798,1650,1673,NA,1267,8141,5858,34793,1105,778,818,NA,NA,985,3161,2022,NA,NA,NA,NA,NA,NA,NA,2114,5295,NA,1921,484,1006,10268,1018,766,NA,575,NA,1332,NA,NA,7737,2171,NA,4142,NA,NA,NA,869,NA,2932,640,7080,5043,NA,2048,7699,NA,NA,78514,1333,NA,NA,1392,1403,720,1239,877,3794,12638,1114,1121,739,1739,NA,2662,313000,881,NA,NA,NA,2093,NA,1935,4051,1317,2083,8578,46720,2707,NA,967,2442,1001,NA,23490,93665,NA,NA,1498
