"","ID_3447772","ID_208570","ID_382069","ID_283867","ID_915065","ID_2625724","ID_515054","ID_3357219","ID_625159","ID_2794732","ID_245276","ID_562076","ID_268677","ID_3337097","ID_827560","ID_596277","ID_3122828","ID_146056","ID_1157415","ID_209362","ID_1945247","ID_98717","ID_2736291","ID_935308","ID_609467","ID_497954","ID_3690635","ID_322850","ID_725732","ID_254849","ID_55635","ID_842460","ID_1002430","ID_3402913","ID_657365","ID_163857","ID_1001152","ID_2877840","ID_2360904","ID_711472","ID_867632","ID_996260","ID_837037","ID_2396592","ID_3547896","ID_567905","ID_3049729","ID_722227","ID_2496081","ID_815754","ID_3394380","ID_299868","ID_71859","ID_595869","ID_186856","ID_651121","ID_2942823","ID_218261","ID_4184186","ID_853251","ID_2297998","ID_956750","ID_1493319","ID_365745","ID_536527","ID_283438","ID_197478","ID_285759","ID_3109146","ID_3146150","ID_3561771","ID_3488980","ID_578237","ID_2694681","ID_2857794","ID_3546862","ID_3482045","ID_3468450","ID_518877","ID_897170","ID_3487947","ID_364270","ID_70218","ID_536059","ID_3832127","ID_664653","ID_524766","ID_2785477","ID_790534","ID_534466","ID_370833","ID_3470154","ID_49858","ID_3835454","ID_50461","ID_762773","ID_3216316","ID_1918344","ID_800853","ID_3650442","ID_533124","ID_3369959","ID_3390337","ID_3386264","ID_64552","ID_221775","ID_2332910","ID_1462986","ID_230759","ID_564557","ID_3296859","ID_779968","ID_680130","ID_3437456","ID_3212402","ID_510871","ID_519360","ID_3286999","ID_3388165","ID_2006024","ID_206772","ID_539452","ID_3189063","ID_3143805","ID_2833882","ID_671464","ID_2791085","ID_3076284","ID_2877484","ID_1169650","ID_26176","ID_609609","ID_940311","ID_804860","ID_3447875","ID_3623110","ID_3374878","ID_2354387","ID_3472859","ID_296456","ID_332224","ID_396253","ID_1972298","ID_777366","ID_663834","ID_300063","ID_250476","ID_2329200","ID_1852569","ID_2533043","ID_3346633","ID_716413","ID_816210","ID_3626184","ID_3645840","ID_980951"
"1",NA,NA,459,420,1026,60,363,NA,421,82,4926,NA,NA,NA,254,NA,NA,22,146,40,586,102,10552,199,169,102,NA,111,1443,604,161,977,510,NA,3149,93,15415,116,55,2739,338,1886,1013,104,NA,380,NA,138,375,77,NA,275,16,3954,79,387,NA,117,NA,326,58,125,NA,93,980,778,4249,101,NA,NA,NA,NA,91,195,60,NA,NA,NA,NA,NA,NA,NA,123,297,NA,97,112,61,1236,32,108,NA,41,NA,139,NA,NA,728,499,NA,524,NA,NA,NA,11,NA,126,15,1771,511,NA,616,1444,NA,NA,7366,96,NA,NA,571,107,90,NA,NA,638,2454,41,NA,36,140,NA,303,59000,55,NA,NA,NA,138,NA,202,393,179,172,931,9508,89,NA,189,374,33,NA,2008,12777,NA,NA,338
"2",NA,NA,911,937,1959,135,744,NA,869,163,8507,NA,NA,NA,408,NA,NA,40,323,78,1237,173,21414,702,348,329,NA,191,2887,1471,308,1968,1019,NA,6768,191,31791,255,108,5309,782,3347,1908,208,NA,815,NA,135,544,164,NA,721,30,7178,128,797,0,216,NA,999,131,242,NA,192,2276,1572,9068,192,NA,NA,NA,NA,203,400,145,NA,NA,NA,NA,NA,NA,NA,264,612,NA,202,225,169,2802,61,192,NA,77,NA,229,NA,NA,1409,924,NA,1003,NA,NA,NA,21,NA,236,31,3536,1027,NA,1213,2993,NA,NA,15785,210,NA,NA,933,213,194,NA,NA,1745,4934,83,NA,74,285,NA,629,122000,147,NA,NA,NA,278,NA,415,816,463,335,1631,20256,164,NA,391,683,71,NA,3618,26202,NA,NA,698
"3",NA,NA,1372,1398,2904,220,1098,NA,1323,235,15952,NA,NA,NA,762,NA,NA,58,502,118,1814,280,32106,1297,534,469,NA,294,4176,2253,809,3108,1558,NA,10351,286,47162,417,168,8347,1147,5059,2774,276,NA,1242,0,195,760,253,NA,1054,45,10550,533,1219,7,311,NA,1322,202,492,NA,293,3327,2531,13093,328,NA,NA,NA,NA,312,606,253,NA,NA,NA,NA,NA,NA,NA,389,906,NA,317,326,318,4025,87,296,NA,123,NA,369,NA,NA,2231,1321,NA,1704,NA,NA,NA,33,NA,364,48,5298,1555,NA,1779,4231,NA,NA,23138,315,NA,NA,1219,306,305,NA,NA,2691,7583,122,NA,103,443,NA,1003,186000,201,NA,NA,NA,349,NA,620,1450,660,514,2263,30773,242,NA,591,1078,110,NA,4987,39751,NA,NA,1158
"4",NA,NA,1858,2008,3830,310,1478,NA,1759,317,20020,NA,NA,NA,1285,NA,NA,75,651,161,2369,378,42821,1994,620,572,NA,402,5947,3160,931,4248,2131,NA,14101,404,61716,642,240,11230,1787,7111,4027,381,NA,2588,32,316,770,348,NA,1333,57,17166,570,1801,18,412,NA,1842,275,632,NA,409,4432,3557,17843,455,NA,NA,NA,NA,431,823,759,NA,NA,NA,NA,NA,NA,NA,499,1173,NA,536,435,509,5376,115,707,NA,168,NA,506,NA,NA,3180,1792,NA,2110,NA,NA,NA,43,NA,513,66,7247,2205,NA,2384,6174,NA,NA,31516,478,NA,NA,2960,420,411,NA,NA,3573,10613,200,0,137,399,NA,1496,251000,262,NA,NA,NA,595,NA,827,1816,827,695,3323,41969,339,NA,796,1414,188,NA,6511,48512,NA,NA,1598
"5",NA,NA,516,525,918,118,372,NA,735,71,4929,NA,NA,NA,361,NA,NA,20,146,40,505,101,12448,521,217,185,NA,109,1559,788,191,1194,492,NA,3754,117,11327,180,71,2957,291,1813,862,96,NA,642,60,79,70,85,NA,146,11,3592,39,530,14,108,NA,331,66,142,NA,95,1024,854,4813,94,NA,NA,NA,NA,100,334,184,NA,NA,NA,NA,NA,NA,NA,116,264,NA,91,112,136,1491,34,792,NA,42,NA,493,NA,NA,796,443,NA,451,NA,NA,NA,31,NA,157,22,2038,818,NA,589,1199,NA,NA,8215,136,NA,NA,448,104,121,NA,NA,977,2899,58,5,23,91,NA,376,68000,64,NA,NA,NA,145,NA,181,503,192,262,787,9347,129,NA,190,310,75,NA,1449,13344,NA,NA,427
"6",NA,NA,1026,1244,1887,249,689,NA,1492,145,12475,NA,NA,NA,701,NA,0,34,200,77,1049,188,27020,1074,339,347,NA,199,3017,1658,404,2445,1091,NA,7833,228,25645,380,141,6291,812,3705,1747,141,NA,1390,101,154,141,193,NA,465,30,7336,76,1111,30,203,NA,637,164,341,NA,199,2067,1728,10043,206,0,NA,NA,NA,214,577,379,NA,NA,NA,NA,NA,NA,NA,374,548,NA,181,232,237,2736,68,843,NA,79,NA,646,NA,NA,1575,878,NA,898,NA,NA,NA,86,NA,345,45,4096,1658,NA,1135,2447,NA,NA,15689,280,NA,NA,921,184,226,NA,NA,2028,5632,142,31,56,181,NA,1037,134000,131,NA,NA,NA,198,NA,403,996,391,523,1405,18821,288,NA,421,643,138,NA,2968,24814,NA,NA,896
"7",NA,NA,3168,1972,2889,388,1074,NA,2328,228,17778,NA,NA,NA,857,NA,70,50,354,113,1809,418,37911,1583,442,456,NA,351,4675,2352,642,3984,1552,NA,12125,334,43894,657,221,9241,865,5761,2629,203,NA,1982,344,228,205,624,NA,900,54,11074,132,1745,44,302,NA,980,259,585,NA,309,3093,2624,15857,336,183,NA,NA,NA,337,810,1432,NA,NA,NA,NA,NA,NA,NA,507,754,NA,293,340,378,4097,119,949,NA,131,NA,811,NA,NA,2317,1332,NA,1341,NA,NA,NA,174,NA,491,63,6122,2530,NA,1638,3628,NA,NA,24059,425,NA,NA,1436,279,356,NA,NA,3101,9278,398,175,364,288,NA,1450,199000,188,NA,NA,NA,465,NA,655,1416,612,822,2061,27930,418,NA,658,1119,257,NA,4463,37717,NA,NA,1397
"8",NA,NA,3779,2665,3785,516,1422,NA,3285,321,22590,NA,NA,NA,1202,NA,224,67,555,148,2304,595,49710,2034,535,632,NA,434,6771,3142,863,5522,2101,NA,16436,470,64752,930,307,11823,1330,7543,3451,277,NA,2898,127,261,272,737,NA,1015,62,15707,199,2441,61,402,NA,1760,409,832,NA,420,4035,3768,23095,499,550,6,NA,NA,465,1038,1669,NA,NA,NA,NA,NA,NA,NA,665,1115,NA,377,451,527,5746,154,1025,NA,185,NA,984,NA,NA,3507,1801,NA,1976,NA,NA,NA,230,NA,602,81,8483,3493,NA,2183,4867,NA,NA,31725,607,NA,NA,2954,385,473,NA,0,4340,13380,480,356,450,397,NA,3049,265000,248,NA,NA,NA,683,NA,902,1845,808,1096,2710,36073,561,NA,936,1473,460,NA,5814,49790,NA,NA,1845
"9",NA,NA,627,758,1086,169,764,NA,850,100,4892,NA,NA,NA,430,NA,181,22,239,42,462,114,10912,704,71,132,NA,114,1882,643,224,1898,646,NA,4350,132,18924,188,71,3023,354,1665,915,49,NA,598,43,80,69,95,NA,182,17,3685,56,597,23,107,NA,350,167,228,NA,122,1050,897,6073,139,524,46,NA,NA,133,221,282,NA,NA,NA,NA,NA,NA,NA,119,308,NA,94,99,154,1227,28,99,NA,48,NA,487,NA,NA,988,401,NA,431,NA,NA,NA,76,NA,133,16,2276,954,NA,475,1149,NA,NA,8941,145,NA,NA,475,122,139,NA,2,1255,2814,79,177,39,106,NA,682,71000,95,NA,NA,NA,65,NA,245,454,202,291,551,8793,134,NA,275,388,177,NA,1488,11895,NA,NA,439
"10",NA,NA,1269,1678,2140,498,1090,NA,1718,197,10858,NA,NA,NA,1547,NA,451,39,541,79,871,221,22807,1341,130,257,NA,183,4285,1325,459,3780,1614,NA,9242,307,39662,381,138,6149,645,3256,1770,106,NA,1250,77,196,146,205,NA,380,33,7303,109,1252,54,211,NA,710,347,461,NA,317,2170,1829,13816,278,1277,101,NA,NA,363,430,781,NA,NA,NA,NA,NA,NA,NA,236,608,NA,200,207,359,2421,59,184,NA,47,NA,685,NA,NA,1990,787,NA,866,NA,NA,NA,153,NA,264,34,4549,1900,NA,1078,2574,NA,NA,18327,317,NA,NA,951,245,257,0,7,2426,7053,149,416,93,204,NA,1337,136000,170,NA,NA,NA,274,NA,518,1031,405,612,1229,17929,255,NA,559,883,384,NA,3015,27372,NA,NA,923
